EwE_num,EwE_name,flagdem,N_spp,N_hspn,Pelagic,DepthMin,DepthPrefMin,DepthPrefMax,DepthMax,TempMin,TempPrefMin,TempPrefMax,TempMax,SalinityMin,SalinityPrefMin,SalinityPrefMax,SalinityMax,PrimProdMin,PrimProdPrefMin,PrimProdPrefMax,OxyMin,OxyPrefMin,OxyPrefMax,OxyMax,LandDistMin,LandDistPrefMin,LandDistPrefMax,LandDistMax,NMostLat,SMostLat,WMostLong,EMostLong
18,Salmon returning,0,5,5,0,0,31,117.4,275,-0.87,3.88,11.4,19.75,19.33,26.95,32.76,36.04,2.15,6.45,37.06,16.14,70.07,322.31,366.4,0,3.8,193,674.4,72.4,29.4,129.6,-109.4
19,Salmon outgoing,0,5,5,0,0,31,117.4,275,-0.87,3.88,11.4,19.75,19.33,26.95,32.76,36.04,2.15,6.45,37.06,16.14,70.07,322.31,366.4,0,3.8,193,674.4,72.4,29.4,129.6,-109.4
20,Pacific hake,1,1,1,1,0,126,229,1000,2.49,11.18,23.29,28.18,24.18,29.8,34.66,35.58,1.26,2.44,55.13,1.1,12.75,226.65,315.17,0,9,169,391,51,15,-130,-77
21,Pacific herring adult,0,1,1,1,0,56,215,475,-1.18,2.23,11.66,19.9,13.66,27.95,32.72,35.29,1.15,4.78,33.62,9.75,93.8,346.76,386.66,0,6,220,406,77,33,34,-119
22,Pacific herring juvenile,0,1,1,1,0,56,215,475,-1.18,2.23,11.66,19.9,13.66,27.95,32.72,35.29,1.15,4.78,33.62,9.75,93.8,346.76,386.66,0,6,220,406,77,33,34,-119
23,Pacific sandlance,1,1,1,0,0,18,83,172,2.39,5.5,18.4,23.15,22.39,25.41,33.53,39.11,4.42,5.72,50.79,38.01,78.41,297.62,340.02,0.5,6,89,113,54,30,118,-118
24,Pacific capelin,0,1,1,1,0,89,200,725,-1.61,0.69,8.65,19.06,12.84,28.92,34.88,37.8,0.4,3.43,18.07,1.33,179.28,337.99,386.66,0,8,264,754,84,37,-180,180
25,Shelf forage fish,0,1,1,0,0,34,140,300,-1.15,4.21,11.24,16.39,19.95,27.96,32.42,35.29,1.92,7.83,33.35,12.99,87.82,309.96,354.45,0,5,179,279,61,40,-171,-121
27,Pacific dogfish,1,1,1,0,15,25,62,110,4.13,9.13,15.31,23.9,24.18,25.75,33.34,37,1.56,10.77,55.91,4.94,18.78,296.59,353.35,0,6,103,158.5,NA,NA,NA,NA
28,Salmon shark,1,1,1,1,0,0,152,650,1.24,3.74,11.49,19.24,25.44,31.32,32.87,34.15,3.27,6.55,27.17,10.84,87.4,307.02,353.35,2,11,241,1739,66,22,120,-115
29,Pacific sleeper shark,1,1,1,0,0,302,914,2205,-0.41,3.37,9.2,19.99,25.56,31.48,32.81,34.15,4.67,6.33,21.37,9.66,39.79,307.19,366.58,2,13,249,1176,72,23,121,-110
30,Big skate,1,1,1,0,3,3,110,800,-0.64,6.06,13.66,19.07,24.18,28.33,33.09,34.48,4.51,11.37,55.13,8.17,36.84,300.81,347.69,0,7,111,377,61,31,-165,-117
33,Pacific halibut adult,1,1,1,0,0,155,515,1200,-0.75,2.92,9.28,13.53,19.95,30.28,32.77,34.18,1.68,5.25,20.77,13.16,55.67,319.55,366.58,0,11,230,515,73,42,138,-123
34,Pacific halibut juvenile,1,1,1,0,0,155,515,1200,-0.75,2.92,9.28,13.53,19.95,30.28,32.77,34.18,1.68,5.25,20.77,13.16,55.67,319.55,366.58,0,11,230,515,73,42,138,-123
35,Arrowtooth flounder adult,1,1,1,0,18,135,424,950,-0.28,3.18,10.34,15.46,24.18,30.36,32.78,34.09,2.03,6.27,25.65,10.06,49.29,308.51,359.29,0,11,217,959,67,35,162,-122
36,Arrowtooth flounder juvenile,1,1,1,0,18,135,424,950,-0.28,3.18,10.34,15.46,24.18,30.36,32.78,34.09,2.03,6.27,25.65,10.06,49.29,308.51,359.29,0,11,217,959,67,35,162,-122
37,Rex sole adult,1,1,1,0,0,61,500,900,-1.9,3.93,12.54,20.12,24.18,29.98,32.85,34.65,0.13,6.52,32.53,8.17,39.79,302.79,354.95,0,9,223,1597,65,28,155,-115
38,Rex sole juvenile,1,1,1,0,0,61,500,900,-1.9,3.93,12.54,20.12,24.18,29.98,32.85,34.65,0.13,6.52,32.53,8.17,39.79,302.79,354.95,0,9,223,1597,65,28,155,-115
39,Flathead sole adult,1,1,1,0,0,133,454,1050,5.85,9.36,12.33,19.06,16.88,25.51,32.87,34.15,4.23,10.75,62.74,16.57,65.72,297.01,300.81,1,2,106,515,51,29,97,-90
40,Flathead sole juvenile,1,1,1,0,0,133,454,1050,5.85,9.36,12.33,19.06,16.88,25.51,32.87,34.15,4.23,10.75,62.74,16.57,65.72,297.01,300.81,1,2,106,515,51,29,97,-90
41,Shallow-water flatfish,1,2,2,0,0,9.5,214.5,637.5,0.19,3.13,9,19.06,24.18,29.98,32.67,34.33,2.05,6.16,23.61,10.7,93.56,314.69,363.72,0,9,204.5,435.5,67,34,124,-119
