"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",2015,4,21.6528306486718
"Cop","ssp126",2015,5,42.2265328116899
"Cop","ssp126",2015,6,61.6283114987263
"Cop","ssp126",2015,7,69.4450030956412
"Cop","ssp126",2015,8,53.9658485043506
"Cop","ssp126",2015,9,52.1595951049117
"Cop","ssp126",2015,10,45.5225377911711
"Cop","ssp126",2015,11,26.8662714594552
"Cop","ssp126",2015,12,14.9297322081516
"Cop","ssp126",2016,1,9.38333946594193
"Cop","ssp126",2016,2,6.84081474483122
"Cop","ssp126",2016,3,8.6329432668693
"Cop","ssp126",2016,4,24.2584135090689
"Cop","ssp126",2016,5,46.2532218775823
"Cop","ssp126",2016,6,64.3940098089513
"Cop","ssp126",2016,7,68.697116974043
"Cop","ssp126",2016,8,51.5978628028624
"Cop","ssp126",2016,9,45.7881597951143
"Cop","ssp126",2016,10,43.8034187697933
"Cop","ssp126",2016,11,29.4791048236173
"Cop","ssp126",2016,12,16.8022243693785
"Cop","ssp126",2017,1,9.83625893879632
"Cop","ssp126",2017,2,7.7235078826835
"Cop","ssp126",2017,3,10.3526884315257
"Cop","ssp126",2017,4,18.5222648108284
"Cop","ssp126",2017,5,45.8108347918319
"Cop","ssp126",2017,6,78.1247478279487
"Cop","ssp126",2017,7,78.1228408945756
"Cop","ssp126",2017,8,57.1726060728643
"Cop","ssp126",2017,9,52.2645697693174
"Cop","ssp126",2017,10,43.5754035313752
"Cop","ssp126",2017,11,30.6789856488467
"Cop","ssp126",2017,12,17.5682105972954
"Cop","ssp126",2018,1,10.7417350484733
"Cop","ssp126",2018,2,7.9715995431245
"Cop","ssp126",2018,3,9.36662251626901
"Cop","ssp126",2018,4,22.0895924769412
"Cop","ssp126",2018,5,45.3134382699667
"Cop","ssp126",2018,6,68.3065970688568
"Cop","ssp126",2018,7,72.6083330744676
"Cop","ssp126",2018,8,59.0240456314154
"Cop","ssp126",2018,9,58.2887199992983
"Cop","ssp126",2018,10,41.006219364375
"Cop","ssp126",2018,11,32.6200033873115
"Cop","ssp126",2018,12,17.0796907665172
"Cop","ssp126",2019,1,9.69727752380764
"Cop","ssp126",2019,2,6.7627447129708
"Cop","ssp126",2019,3,9.17638771450255
"Cop","ssp126",2019,4,30.7173622720544
"Cop","ssp126",2019,5,51.3929293692554
"Cop","ssp126",2019,6,68.272711444084
"Cop","ssp126",2019,7,70.5553754585196
"Cop","ssp126",2019,8,56.9824791061025
"Cop","ssp126",2019,9,48.9219782606626
"Cop","ssp126",2019,10,47.0229083170383
"Cop","ssp126",2019,11,29.0228256655136
"Cop","ssp126",2019,12,15.3631221721822
"Cop","ssp126",2020,1,9.34384095879871
"Cop","ssp126",2020,2,7.19054923415854
"Cop","ssp126",2020,3,9.4766283400824
"Cop","ssp126",2020,4,24.8473597834834
"Cop","ssp126",2020,5,51.1793080470852
"Cop","ssp126",2020,6,72.3927651103954
"Cop","ssp126",2020,7,79.9378634993184
"Cop","ssp126",2020,8,60.3932844472791
"Cop","ssp126",2020,9,57.7683304775701
"Cop","ssp126",2020,10,48.1947449400623
"Cop","ssp126",2020,11,30.2732599452149
"Cop","ssp126",2020,12,17.767790539041
"Cop","ssp126",2021,1,9.72985358694262
"Cop","ssp126",2021,2,6.59482399925064
"Cop","ssp126",2021,3,7.67036167269561
"Cop","ssp126",2021,4,23.166594191686
"Cop","ssp126",2021,5,43.4840692087721
"Cop","ssp126",2021,6,50.6772600865627
"Cop","ssp126",2021,7,69.2363649838015
"Cop","ssp126",2021,8,54.4804551230976
"Cop","ssp126",2021,9,53.6456119330552
"Cop","ssp126",2021,10,50.8185695650428
"Cop","ssp126",2021,11,30.9775051882673
"Cop","ssp126",2021,12,17.631670325523
"Cop","ssp126",2022,1,10.5556628711743
"Cop","ssp126",2022,2,7.39027488932103
"Cop","ssp126",2022,3,7.97491367704296
"Cop","ssp126",2022,4,15.7354605067296
"Cop","ssp126",2022,5,43.6633753985713
"Cop","ssp126",2022,6,78.4963864439867
"Cop","ssp126",2022,7,94.1953859136547
"Cop","ssp126",2022,8,63.6829077077129
"Cop","ssp126",2022,9,48.0884224933649
"Cop","ssp126",2022,10,41.2767328190684
"Cop","ssp126",2022,11,24.4263839975028
"Cop","ssp126",2022,12,19.7674566770221
"Cop","ssp126",2023,1,12.3447098783207
"Cop","ssp126",2023,2,8.42140142273511
"Cop","ssp126",2023,3,10.9035899815829
"Cop","ssp126",2023,4,25.4518975288049
"Cop","ssp126",2023,5,79.8276252908867
"Cop","ssp126",2023,6,101.915464545558
"Cop","ssp126",2023,7,87.2308824940321
"Cop","ssp126",2023,8,65.5572720303941
"Cop","ssp126",2023,9,57.5897152169253
"Cop","ssp126",2023,10,54.5699337364546
"Cop","ssp126",2023,11,33.3321053771828
"Cop","ssp126",2023,12,20.1969817554913
"Cop","ssp126",2024,1,12.1759830949361
"Cop","ssp126",2024,2,8.88674076217684
"Cop","ssp126",2024,3,15.2856604702553
"Cop","ssp126",2024,4,37.113160243309
"Cop","ssp126",2024,5,86.3207555578759
"Cop","ssp126",2024,6,114.065077148885
"Cop","ssp126",2024,7,101.830666512138
"Cop","ssp126",2024,8,65.227076615671
"Cop","ssp126",2024,9,55.1480288806594
"Cop","ssp126",2024,10,47.4382882742304
"Cop","ssp126",2024,11,30.239434923226
"Cop","ssp126",2024,12,17.3307473204793
"Cop","ssp126",2025,1,10.5385659059674
"Cop","ssp126",2025,2,8.05806848913715
"Cop","ssp126",2025,3,9.29059380823475
"Cop","ssp126",2025,4,20.4620757867555
"Cop","ssp126",2025,5,63.6493569610514
"Cop","ssp126",2025,6,88.4696110509493
"Cop","ssp126",2025,7,93.6613667608105
"Cop","ssp126",2025,8,68.5432292522574
"Cop","ssp126",2025,9,49.5902177666016
"Cop","ssp126",2025,10,43.7522681173193
"Cop","ssp126",2025,11,25.1337494590382
"Cop","ssp126",2025,12,14.9801826180579
"Cop","ssp126",2026,1,8.28644004546176
