"from","to","V1","V2","V3","V4","V5","V6","V7"
"arrowtooth_adu","toothed_whales",18320.556667939,18320.5218490489,18320.4599763848,18320.3939797519,18320.3654346605,18320.3679912583,18320.3753379337
"gr_turbot_juv","toothed_whales",18320.3926289909,18320.393079238,18320.3937383674,18320.3939797519,18320.3932181541,18320.392151095,18320.3914708275
"gr_turbot_adu","toothed_whales",18320.4365007765,18320.4273610104,18320.4111601093,18320.3939797519,18320.3867061313,18320.3875390659,18320.3895464606
"halibut_juv","toothed_whales",18320.5164970191,18320.4969397229,18320.4563087224,18320.3939797519,18320.3319612466,18320.2918602206,18320.2726465823
"halibut_adu","toothed_whales",18321.3270531506,18321.174464834,18320.8617890738,18320.3939797519,18319.9435207379,18319.6606585055,18319.5275588122
"yf_sole","toothed_whales",18320.4523276942,18320.4433670145,18320.4243321646,18320.3939797519,18320.3623040929,18320.3409905184,18320.330536638
"fh_sole","toothed_whales",18320.4528970071,18320.4438366197,18320.4246031556,18320.3939797519,18320.3620966688,18320.3406957446,18320.3302163059
"nr_sole","toothed_whales",18321.1835064982,18321.0571615337,18320.7950419829,18320.3939797519,18319.9962699956,18319.7398745901,18319.6172469544
"ak_plaice","toothed_whales",18320.8876420599,18320.8157248719,18320.6581577042,18320.3939797519,18320.1023534211,18319.8975497972,18319.7947013037
"oth_flatfish","toothed_whales",18320.4319493842,18320.425326461,18320.4122320985,18320.3939797519,18320.3781741471,18320.369288027,18320.3654190925
"ak_skate","toothed_whales",18320.0158719036,18320.05406206,18320.1596276189,18320.3939797519,18320.7202425354,18320.9839780909,18321.1257389474
"oth_skate","toothed_whales",18320.1854181366,18320.2210043554,18320.2922034599,18320.3939797519,18320.485867158,18320.5400792321,18320.5645632316
"sablefish_juv","toothed_whales",18320.276168488,18320.2951558691,18320.3343858119,18320.3939797519,18320.4525476583,18320.490018994,18320.5078596936
"sablefish_adu","toothed_whales",18319.9171862837,18319.9941787098,18320.1530698965,18320.3939797519,18320.630240745,18320.7811718083,18320.8529799398
"eelpouts","toothed_whales",18320.3987105586,18320.3979218115,18320.3963229943,18320.3939797519,18320.3917876244,18320.3904484826,18320.3898295147
"deep_demersals","toothed_whales",18320.4588810906,18320.4507074103,18320.4311346185,18320.3939797519,18320.3479036752,18320.3129879934,18320.2947742104
"pac_ocean_perch","toothed_whales",18320.3586721951,18320.3623111711,18320.3722426457,18320.3939797519,18320.4238802368,18320.4478510211,18320.4606768831
"oth_rockfish","toothed_whales",18320.4098056205,18320.4069038657,18320.4013222174,18320.3939797519,18320.3882164931,18320.3853491816,18320.3842225288
"north_rockfish","toothed_whales",18320.3938035123,18320.3938331183,18320.393892869,18320.3939797519,18320.3940601941,18320.3941088805,18320.3941312545
"shortraker_rock","toothed_whales",18320.3822629798,18320.384534235,18320.3887759059,18320.3939797519,18320.3975085698,18320.3988710047,18320.3992591799
"rougheye_rock","toothed_whales",18320.4178173545,18320.415241372,18320.4084271028,18320.3939797519,18320.3745530828,18320.3591782374,18320.3510024101
"atka","toothed_whales",18320.4145869545,18320.4107606171,18320.4034473555,18320.3939797519,18320.3867993168,18320.3834189465,18320.3821657869
"shallow_demersals","toothed_whales",18320.7787033282,18320.7299170221,18320.6136612215,18320.3939797519,18320.1219091248,18319.9154665963,18319.807603997
"octopus","toothed_whales",18320.3959836202,18320.395652387,18320.3949775527,18320.3939797519,18320.3930362271,18320.3924548171,18320.3921847731
"squids","toothed_whales",18320.0779296562,18320.1234497689,18320.2237485194,18320.3939797519,18320.5854869981,18320.7225646586,18320.7922835226
"salmon_returning","toothed_whales",18320.4154129391,18320.4119438142,18320.4047941678,18320.3939797519,18320.3834060897,18320.3766690077,18320.3734688308
"salmon_smolts","toothed_whales",18320.3938773642,18320.3938921688,18320.393924805,18320.3939797519,18320.3940401426,18320.3940821053,18320.3941029882
"mycto_bathy","toothed_whales",18320.3810666712,18320.3823583629,18320.3859517549,18320.3939797519,18320.4052124452,18320.4143234034,18320.4192308342
"capelin","toothed_whales",18320.3730002006,18320.3764141428,18320.3834281014,18320.3939797519,18320.4042291238,18320.4107258383,18320.413803128
"sandlance","toothed_whales",18320.5920662597,18320.561273263,18320.4963268787,18320.3939797519,18320.2885817599,18320.2183641889,18320.1841051545
"oth_forage","toothed_whales",18320.4617649851,18320.452514777,18320.4314390374,18320.3939797519,18320.3501210827,18320.3180327037,18320.3015713402
"bairdi","toothed_whales",18320.4098641059,18320.4077862602,18320.4029277242,18320.3939797519,18320.3831572026,18320.3750729102,18320.3708829457
"opilio","toothed_whales",18320.4113774611,18320.408947701,18320.4034875326,18320.3939797519,18320.3830769474,18320.3752169019,18320.3712162392
"pandalid","toothed_whales",18320.4057863226,18320.4039845142,18320.4001431454,18320.3939797519,18320.3874994573,18320.3831123526,18320.3809529299
"ben_zooplankton","toothed_whales",18320.4334362028,18320.4271223488,18320.414022395,18320.3939797519,18320.3741118719,18320.361309831,18320.3551891098
"snails_sea_stars","toothed_whales",18320.4007792939,18320.3997251425,18320.3974975541,18320.3939797519,18320.3903556094,18320.3879451612,18320.3867713682
"misc_crabs","toothed_whales",18320.3955403592,18320.3953151264,18320.3948188029,18320.3939797519,18320.3930463733,18320.3923878022,18320.3920563831
"structural_epifauna","toothed_whales",18320.3948575917,18320.3946958398,18320.3943854516,18320.3939797519,18320.3936657808,18320.3935130521,18320.3934544028
"infauna","toothed_whales",18320.5408934706,18320.5179150864,18320.4696147075,18320.3939797519,18320.3167419858,18320.2656654039,18320.2408567785
"ben_zooplankton","gray_whales",18315.6029177733,18316.1551795005,18317.532796617,18320.3939797519,18324.4308599857,18327.8684627737,18329.7946945362
"infauna","gray_whales",18319.7473087692,18319.8533313116,18320.0703352419,18320.3939797519,18320.7038164,18320.8971308462,18320.9876907505
"pollock_juv","baleen_whales",18320.9097221857,18320.8263169509,18320.6542696809,18320.3939797519,18320.1400643761,18319.9789436443,18319.90267232
"herring","baleen_whales",18320.4203070386,18320.4161123372,18320.4073833141,18320.3939797519,18320.380673347,18320.3721122939,18320.3680282826
"ak_skate","baleen_whales",18321.1634672453,18321.0255746305,18320.757102708,18320.3939797519,18320.093393987,18319.9322915356,18319.8645325337
"oth_skate","baleen_whales",18319.7989791207,18319.8952035759,18320.0936775408,18320.3939797519,18320.6871321419,18320.8733352801,18320.9615474488
"shallow_demersals","baleen_whales",18320.3918962353,18320.3922945992,18320.3930434677,18320.3939797519,18320.3946475897,18320.3949356345,18320.3950330296
"squids","baleen_whales",18320.3536228922,18320.3599304022,18320.3731995597,18320.3939797519,18320.4151489104,18320.4290860771,18320.4358300405
"salmon_returning","baleen_whales",18320.4132201839,18320.4101356231,18320.4037413961,18320.3939797519,18320.384341263,18320.3781584028,18320.3752118463
"salmon_smolts","baleen_whales",18320.3939220089,18320.3939306006,18320.3939492088,18320.3939797519,18320.3940125315,18320.3940349747,18320.3940460682
"mycto_bathy","baleen_whales",18320.3936215151,18320.3936785194,18320.3937971989,18320.3939797519,18320.3941617009,18320.3942793449,18320.3943356739
"capelin","baleen_whales",18320.290746746,18320.3072959794,18320.3416041322,18320.3939797519,18320.4456849664,18320.4788429133,18320.4946413068
"sandlance","baleen_whales",18320.6725781907,18320.6286735766,18320.5367550496,18320.3939797519,18320.2499431346,18320.1558580936,18320.1105371716
"oth_forage","baleen_whales",18320.3846383451,18320.3867290785,18320.3903546275,18320.3939797519,18320.3951849256,18320.3946562265,18320.3940337224
"bairdi","baleen_whales",18320.3940208819,18320.394018037,18320.3940076624,18320.3939797519,18320.3939371768,18320.393901627,18320.3938823387
"king_crabs","baleen_whales",18320.3952017298,18320.3950078135,18320.3946034499,18320.3939797519,18320.3933560417,18320.3929516541,18320.3927577198
"opilio","baleen_whales",18320.3940242629,18320.3940199961,18320.3940077197,18320.3939797519,18320.3939407059,18320.3939094123,18320.3938927252
"pandalid","baleen_whales",18320.3940313554,18320.3940240441,18320.3940077376,18320.3939797519,18320.3939482905,18320.3939260176,18320.3939148094
"ben_zooplankton","baleen_whales",18320.3948971275,18320.3947525145,18320.3944497932,18320.3939797519,18320.3935058794,18320.393196579,18320.3930476673
"snails_sea_stars","baleen_whales",18320.3940814173,18320.3940654391,18320.3940319312,18320.3939797519,18320.3939269811,18320.393892458,18320.3938758168
"misc_crabs","baleen_whales",18320.3940801029,18320.3940660259,18320.3940344374,18320.3939797519,18320.3939177679,18320.393873651,18320.3938513915
"infauna","baleen_whales",18320.3942414437,18320.3942012043,18320.3941157372,18320.3939797519,18320.3938386714,18320.3937444574,18320.3936985049
"pel_zooplankton","baleen_whales",18320.4097088569,18320.4071890952,18320.4019629374,18320.3939797519,18320.386095789,18320.3810399579,18320.3786314371
"euphausiids","baleen_whales",18320.7182660206,18320.6670479256,18320.5598991706,18320.3939797519,18320.2277358479,18320.1200471486,18320.0684885186
"copepods","baleen_whales",18320.4613448063,18320.450572645,18320.4282068729,18320.3939797519,18320.3601018293,18320.3383350742,18320.3279538852
"pollock_juv","pinnipeds",18322.9970331882,18322.5778507213,18321.7103588715,18320.3939797519,18319.1107000766,18318.2992494454,18317.9163558502
"pollock_adu","pinnipeds",18321.0495304927,18320.9389161507,18320.7160829757,18320.3939797519,18320.0995641116,18319.9242928594,18319.8447764194
"pcod_juv","pinnipeds",18320.7699635235,18320.7026400902,18320.5715653705,18320.3939797519,18320.2461990505,18320.1663776773,18320.1325946093
"pcod_adu","pinnipeds",18320.8882798109,18320.7985489872,18320.6251330855,18320.3939797519,18320.2071671753,18320.1100202378,18320.0702064931
"herring","pinnipeds",18320.4066704013,18320.4050389132,18320.4011781984,18320.3939797519,18320.3852246781,18320.3786902144,18320.3753113934
"halibut_juv","pinnipeds",18320.5125626425,18320.4932945356,18320.4536829947,18320.3939797519,18320.3357925734,18320.2987866034,18320.2812219205
"halibut_adu","pinnipeds",18321.5004440106,18321.31698923,18320.9441849792,18320.3939797519,18319.8723392442,18319.5486587938,18319.3973456193
"fh_sole","pinnipeds",18321.0148710676,18320.9189695895,18320.7159588112,18320.3939797519,18320.0598567491,18319.835948951,18319.7263645061
"nr_sole","pinnipeds",18321.3798587942,18321.2194238198,18320.8898750876,18320.3939797519,18319.9117746243,18319.6057376461,18319.4606657334
"ak_plaice","pinnipeds",18321.450443237,18321.3129255088,18320.9902704539,18320.3939797519,18319.6715331953,18319.1317405569,18318.8520138094
"oth_flatfish","pinnipeds",18320.8372525911,18320.760822666,18320.6088869198,18320.3939797519,18320.2023580032,18320.0904970006,18320.0403102641
"ak_skate","pinnipeds",18321.0343953583,18320.9033578022,18320.6657098591,18320.3939797519,18320.2387742979,18320.2016435624,18320.2018979388
"oth_skate","pinnipeds",18319.9605155992,18320.0339870412,18320.1814459509,18320.3939797519,18320.5888924872,18320.706059842,18320.7597184054
"eelpouts","pinnipeds",18320.4145063448,18320.4110707198,18320.4041256615,18320.3939797519,18320.3845000714,18320.3787005454,18320.3760143536
"pac_ocean_perch","pinnipeds",18320.4307421429,18320.4232329967,18320.4096026689,18320.3939797519,18320.3849846146,18320.3827549371,18320.3827075541
"oth_rockfish","pinnipeds",18320.4203504237,18320.4157651329,18320.4066928754,18320.3939797519,18320.3827994089,18320.3763629918,18320.3735023576
"north_rockfish","pinnipeds",18320.3937848209,18320.393817733,18320.3938839295,18320.3939797519,18320.3940681998,18320.3941217173,18320.3941463346
"shortraker_rock","pinnipeds",18320.3701538211,18320.3743476301,18320.3825892685,18320.3939797519,18320.403780864,18320.4092892725,18320.4116946514
"rougheye_rock","pinnipeds",18320.36646103,18320.3719190823,18320.3819778583,18320.3939797519,18320.4016875435,18320.4043612686,18320.4049867182
"atka","pinnipeds",18320.4294872008,18320.4233161437,18320.4111019863,18320.3939797519,18320.3789237437,18320.370263237,18320.3664176934
"shallow_demersals","pinnipeds",18320.0034559284,18320.0998670186,18320.2597119844,18320.3939797519,18320.3861104016,18320.3013025605,18320.2374796056
"lg_sculpins","pinnipeds",18320.7784395314,18320.7325201716,18320.6186746034,18320.3939797519,18320.1075032259,18319.8873644025,18319.7718615331
"octopus","pinnipeds",18321.1946582161,18321.0377257522,18320.7464520664,18320.3939797519,18320.1633740496,18320.0826904628,18320.0642523471
"squids","pinnipeds",18320.3549017397,18320.3610752473,18320.3739716348,18320.3939797519,18320.4142251953,18320.4275329118,18320.4339777127
"salmon_returning","pinnipeds",18320.4028563021,18320.4013995256,18320.3984219716,18320.3939797519,18320.3897054749,18320.3870164604,18320.3857482983
"salmon_smolts","pinnipeds",18320.393968955,18320.3939703644,18320.3939736748,18320.3939797519,18320.3939869906,18320.3939922989,18320.3939950156
"capelin","pinnipeds",18320.327713891,18320.338899365,18320.3614040615,18320.3939797519,18320.4240178736,18320.4421616634,18320.4504956501
"sandlance","pinnipeds",18320.5327069416,18320.5121569561,18320.4675991097,18320.3939797519,18320.3137609339,18320.2578343081,18320.2298313735
"oth_forage","pinnipeds",18320.371060733,18320.3778167969,18320.3881539059,18320.3939797519,18320.3871715691,18320.3757718272,18320.368297832
"opilio","pinnipeds",18320.3933222177,18320.4004004352,18320.4068068215,18320.3939797519,18320.3525089537,18320.3096273013,18320.2844343458
"pandalid","pinnipeds",18320.4086659403,18320.4082700794,18320.4051661934,18320.3939797519,18320.3743816009,18320.3567935858,18320.3469073187
"ben_zooplankton","pinnipeds",18320.4490567424,18320.4407145044,18320.4228996862,18320.3939797519,18320.3627060082,18320.3408076197,18320.3297686146
"snails_sea_stars","pinnipeds",18320.4008157656,18320.399789064,18320.3975786389,18320.3939797519,18320.3901409914,18320.3875179072,18320.3862210879
"herb_echinoderms","pinnipeds",18320.3879462505,18320.3885914443,18320.3903108012,18320.3939797519,18320.398934475,18320.4028677035,18320.4049633757
"misc_crabs","pinnipeds",18320.4195069541,18320.4173804611,18320.4106317475,18320.3939797519,18320.3695351509,18320.3493807969,18320.3384793372
"infauna","pinnipeds",18320.4371254353,18320.4314229908,18320.4182206347,18320.3939797519,18320.3643241632,18320.3417876715,18320.3299620607
"pinnipeds","walrus_bd_seals",18320.3630515976,18320.3667009398,18320.3758340896,18320.3939797519,18320.4170923573,18320.4347579141,18320.4439833894
"walrus_bd_seals","walrus_bd_seals",18321.8919954168,18321.6231677538,18321.1018593603,18320.3939797519,18319.7914013353,18319.4516294615,18319.3018979612
"ice_seals","walrus_bd_seals",18320.6975306473,18320.6457718698,18320.5421939043,18320.3939797519,18320.2597940352,18320.1803069111,18320.1442900477
"pollock_juv","walrus_bd_seals",18320.5361600457,18320.5125088761,18320.4645095636,18320.3939797519,18320.3277106622,18320.2870240814,18320.2681491398
"herring","walrus_bd_seals",18320.3850902625,18320.3866903376,18320.3897970271,18320.3939797519,18320.3974239682,18320.3992627939,18320.4000347344
"fh_sole","walrus_bd_seals",18320.9265237477,18320.8435087401,18320.6686261031,18320.3939797519,18320.1130524859,18319.9273834419,18319.8373203728
"ak_plaice","walrus_bd_seals",18324.5762747158,18323.9794243785,18322.6550790003,18320.3939797519,18317.8559454661,18316.0558115968,18315.1479493251
"oth_flatfish","walrus_bd_seals",18321.8058756003,18321.5655058277,18321.084133241,18320.3939797519,18319.7670036498,18319.3942335064,18319.2248951046
"eelpouts","walrus_bd_seals",18320.4054778661,18320.4036015846,18320.3997520305,18320.3939797519,18320.3884056135,18320.3848963093,18320.3832423281
"shallow_demersals","walrus_bd_seals",18319.1614043921,18319.4007719952,18319.8475985548,18320.3939797519,18320.7600198447,18320.896972617,18320.9337732597
"octopus","walrus_bd_seals",18320.4158060352,18320.4121664589,18320.4047915267,18320.3939797519,18320.3838455044,18320.3776352383,18320.374757411
"capelin","walrus_bd_seals",18319.928691804,18320.004426559,18320.160062133,18320.3939797519,18320.6203476365,18320.7630262752,18320.8303001567
"sandlance","walrus_bd_seals",18320.3946575136,18320.3957789711,18320.3966396322,18320.3939797519,18320.3863631484,18320.3787100709,18320.3742679233
"oth_forage","walrus_bd_seals",18320.3115910556,18320.3271816584,18320.3566558143,18320.3939797519,18320.4212726697,18320.4335174798,18320.4378487358
"bairdi","walrus_bd_seals",18320.3916270575,18320.3930447627,18320.3947421461,18320.3939797519,18320.3890380754,18320.3835560528,18320.3802813162
"opilio","walrus_bd_seals",18320.354285527,18320.3635335049,18320.3792623834,18320.3939797519,18320.3969107737,18320.3923950364,18320.3884130743
"pandalid","walrus_bd_seals",18320.3560764701,18320.3627399123,18320.3758510187,18320.3939797519,18320.4095389032,18320.4182369227,18320.422016723
"ben_zooplankton","walrus_bd_seals",18319.8857780189,18319.9671149066,18320.1359588775,18320.3939797519,18320.648433204,18320.8111390275,18320.8884572905
"snails_sea_stars","walrus_bd_seals",18320.4295120788,18320.4241882383,18320.4127060555,18320.3939797519,18320.3740082043,18320.360387473,18320.3536662934
"herb_echinoderms","walrus_bd_seals",18320.3931156738,18320.3932542418,18320.3935413711,18320.3939797519,18320.3944132409,18320.3946919813,18320.394825076
"misc_crabs","walrus_bd_seals",18320.4076666802,18320.4074588176,18320.4046548284,18320.3939797519,18320.3754828788,18320.3592445334,18320.3502576468
"structural_epifauna","walrus_bd_seals",18320.4056956092,18320.4037260471,18320.3997523809,18320.3939797519,18320.3886445049,18320.385421894,18320.3839430121
"infauna","walrus_bd_seals",18319.1203419624,18319.2942881949,18319.6899296272,18320.3939797519,18321.2233688695,18321.8347111998,18322.1499022023
"pollock_juv","nf_seal_juv",18320.4685863753,18320.4266228858,18320.3721229486,18320.3939797519,18320.5884602243,18320.8499137557,18321.0306183906
"pollock_adu","nf_seal_juv",18320.3925343273,18320.3820530498,18320.3729355783,18320.3939797519,18320.4629168918,18320.5392754595,18320.5870818518
"herring","nf_seal_juv",18320.3852517209,18320.3867469123,18320.3896648912,18320.3939797519,18320.3986339492,18320.4022174477,18320.4042117499
"arrowtooth_juv","nf_seal_juv",18320.3911186213,18320.3913943666,18320.3921944604,18320.3939797519,18320.39641877,18320.398372036,18320.3994232945
"halibut_juv","nf_seal_juv",18320.3994593351,18320.3984231739,18320.3964929181,18320.3939797519,18320.3918606971,18320.3906323029,18320.3900729357
"nr_sole","nf_seal_juv",18320.5059952463,18320.4842232482,18320.4442614631,18320.3939797519,18320.3541277901,18320.3327310649,18320.3235625621
"oth_flatfish","nf_seal_juv",18320.4003045404,18320.3989555572,18320.3966091897,18320.3939797519,18320.3922905502,18320.3916153358,18320.3913992349
"sablefish_juv","nf_seal_juv",18320.3479889429,18320.3574925595,18320.3743428664,18320.3939797519,18320.4074640067,18320.413369781,18320.415447851
"pac_ocean_perch","nf_seal_juv",18320.3932274202,18320.3928388566,18320.3926746296,18320.3939797519,18320.3971207791,18320.4002143827,18320.4020303861
"oth_rockfish","nf_seal_juv",18320.3948046871,18320.3945396121,18320.39416082,18320.3939797519,18320.3942471228,18320.3946650708,18320.3949398566
"north_rockfish","nf_seal_juv",18320.3939686481,18320.3939711659,18320.3939754141,18320.3939797519,18320.3939818077,18320.3939819962,18320.3939817591
"shortraker_rock","nf_seal_juv",18320.393249987,18320.3934985286,18320.3938448306,18320.3939797519,18320.3936700116,18320.3932267302,18320.3929405832
"rougheye_rock","nf_seal_juv",18320.3957510404,18320.3957913317,18320.3954714065,18320.3939797519,18320.3912719894,18320.3887942128,18320.3873744189
"atka","nf_seal_juv",18320.395225608,18320.3931987181,18320.3913172423,18320.3939797519,18320.4030012413,18320.4123856472,18320.417969405
"shallow_demersals","nf_seal_juv",18320.393829394,18320.3938985602,18320.3939843025,18320.3939797519,18320.393820624,18320.3936316482,18320.3935146094
"lg_sculpins","nf_seal_juv",18320.42713899,18320.4239799657,18320.4148150492,18320.3939797519,18320.3644494454,18320.3398643881,18320.3262773603
"squids","nf_seal_juv",18320.3578221323,18320.3628104302,18320.374066208,18320.3939797519,18320.4176458778,18320.4355163048,18320.4449465841
"salmon_returning","nf_seal_juv",18320.3996992664,18320.3982143477,18320.3958737287,18320.3939797519,18320.3939392143,18320.3948965376,18320.3956497734
"mycto_bathy","nf_seal_juv",18320.390387145,18320.3908111869,18320.3918675262,18320.3939797519,18320.3967728019,18320.3990355877,18320.4002748574
"capelin","nf_seal_juv",18320.3907994827,18320.3913457706,18320.392422366,18320.3939797519,18320.3954931002,18320.3964888938,18320.3969786033
"sandlance","nf_seal_juv",18320.4482468478,18320.4366963917,18320.4162436855,18320.3939797519,18320.3830350915,18320.382595954,18320.3845476721
"oth_forage","nf_seal_juv",18320.3911673623,18320.3921619989,18320.3935254278,18320.3939797519,18320.3926028178,18320.3907147518,18320.3895077741
"pollock_juv","nf_seal_adu",18325.0234525853,18324.4163354809,18323.0040776638,18320.3939797519,18317.1784027825,18314.7213611063,18313.427336368
"pollock_adu","nf_seal_adu",18322.0654367071,18321.7789501779,18321.2043577923,18320.3939797519,18319.7059125534,18319.3432781546,18319.1969770284
"herring","nf_seal_adu",18320.2598148989,18320.2665990435,18320.2978011515,18320.3939797519,18320.5540067169,18320.6953668856,18320.7745273022
"arrowtooth_juv","nf_seal_adu",18320.4220586436,18320.4166923224,18320.4066101735,18320.3939797519,18320.3849014086,18320.3809395141,18320.3795859445
"halibut_juv","nf_seal_adu",18320.4551960209,18320.4449375682,18320.4242361374,18320.3939797519,18320.3655254133,18320.3479312952,18320.3397116066
"nr_sole","nf_seal_adu",18321.6221083158,18321.4133748185,18320.9954906244,18320.3939797519,18319.8403023737,18319.5048451697,18319.350159652
"oth_flatfish","nf_seal_adu",18320.4696186068,18320.4563086642,18320.4301805903,18320.3939797519,18320.3624674299,18320.3444229649,18320.33641664
"sablefish_juv","nf_seal_adu",18319.70450517,18319.8206672373,18320.0543947752,18320.3939797519,18320.7105738152,18320.9046935655,18320.9948933362
"pac_ocean_perch","nf_seal_adu",18320.4386968042,18320.4297423299,18320.4133508095,18320.3939797519,18320.3816428376,18320.3773754703,18320.3763731531
"oth_rockfish","nf_seal_adu",18320.4159561507,18320.4120387649,18320.4044032957,18320.3939797519,18320.3851189658,18320.3801769887,18320.3780261769
"north_rockfish","nf_seal_adu",18320.3938177151,18320.3938453963,18320.3939006444,18320.3939797519,18320.3940520964,18320.3940956866,18320.3941157207
"shortraker_rock","nf_seal_adu",18320.3736045037,18320.3772526566,18320.3843459191,18320.3939797519,18320.4021010714,18320.4065875128,18320.4085259854
"rougheye_rock","nf_seal_adu",18320.3653953805,18320.3709492809,18320.381279891,18320.3939797519,18320.4028457339,18320.4065696789,18320.4077913192
"atka","nf_seal_adu",18320.7169688353,18320.6568815708,18320.5423937548,18320.3939797519,18320.2792971859,18320.2229266896,18320.2009412082
"shallow_demersals","nf_seal_adu",18320.3900260297,18320.3907692945,18320.3921760195,18320.3939797519,18320.3953560568,18320.3960259003,18320.396285739
"lg_sculpins","nf_seal_adu",18320.4265692492,18320.4277916971,18320.4225806281,18320.3939797519,18320.3401727425,18320.291522812,18320.2642587023
"squids","nf_seal_adu",18320.3709880081,18320.3597450415,18320.3539105375,18320.3939797519,18320.4982502354,18320.6030528187,18320.6644020818
"salmon_returning","nf_seal_adu",18320.4828988682,18320.4665594569,18320.4352367632,18320.3939797519,18320.3609945829,18320.3439247107,18320.3369304816
"mycto_bathy","nf_seal_adu",18320.3774592432,18320.3761450708,18320.3781588204,18320.3939797519,18320.4255883876,18320.45481228,18320.471344755
"capelin","nf_seal_adu",18320.3729786377,18320.3754858048,18320.3817038466,18320.3939797519,18320.4096479495,18320.4217122509,18320.4280534648
"sandlance","nf_seal_adu",18321.2095464694,18321.0592692538,18320.7693132838,18320.3939797519,18320.1247957275,18320.0187772648,18319.9899240528
"oth_forage","nf_seal_adu",18320.3582784578,18320.3640278164,18320.3758911105,18320.3939797519,18320.4120032206,18320.4237535271,18320.429426825
"pollock_juv","ice_seals",18322.2915214089,18321.9914261137,18321.3638672602,18320.3939797519,18319.4262459826,18318.801550501,18318.5028513439
"pcod_juv","ice_seals",18320.4351589969,18320.4272822011,18320.4124719514,18320.3939797519,18320.3809018324,18320.3753999672,18320.3736120402
"herring","ice_seals",18320.5120839684,18320.4941634078,18320.4558031394,18320.3939797519,18320.3289226097,18320.2850394006,18320.2635314038
"fh_sole","ice_seals",18320.4204546337,18320.4163941203,18320.4077615553,18320.3939797519,18320.379581337,18320.3698877289,18320.3651324922
"ak_plaice","ice_seals",18320.7110009407,18320.6660082861,18320.5658705995,18320.3939797519,18320.1996738039,18320.0609708565,18319.9907313638
"oth_flatfish","ice_seals",18320.4331556532,18320.4264165438,18320.4129943387,18320.3939797519,18320.3770494021,18320.3672113011,18320.3628172783
"eelpouts","ice_seals",18320.4963273606,18320.4793503763,18320.4448421058,18320.3939797519,18320.3459876023,18320.3164121571,18320.3026607696
"shallow_demersals","ice_seals",18321.2245212607,18321.1462443445,18320.9200137444,18320.3939797519,18319.6344695796,18319.0058730316,18318.6637354448
"octopus","ice_seals",18320.3945542249,18320.3944592034,18320.3942657393,18320.3939797519,18320.3937089552,18320.3935416446,18320.3934637564
"squids","ice_seals",18320.3826699443,18320.3844505059,18320.388178196,18320.3939797519,18320.3998667873,18320.4037423242,18320.405620207
"capelin","ice_seals",18320.2528148143,18320.2764218205,18320.3241943661,18320.3939797519,18320.4589536917,18320.4984640251,18320.5166725677
"sandlance","ice_seals",18320.4225685735,18320.4183729864,18320.4092195629,18320.3939797519,18320.3772904757,18320.3656428387,18320.3598141319
"oth_forage","ice_seals",18320.5873290584,18320.5667187704,18320.5118559901,18320.3939797519,18320.2325451239,18320.1026628954,18320.0328870756
"pandalid","ice_seals",18320.436213977,18320.4312555026,18320.4188589975,18320.3939797519,18320.3615562263,18320.3361689556,18320.3226985227
