Climate,Frate,Region,Model,Species,year,totB,SSB,Catch,,Scenario
stable_climate,F0,WGOA,Rpath,COD,2051,586137.8331,132230.4203,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2051,1804547.905,679856.9563,0,,base
stable_climate,F0,WGOA,Rpath,POL,2052,3305013.457,1991963.592,0,,base
stable_climate,F0,WGOA,Rpath,COD,2052,589258.0537,132407.3647,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2052,1807218.364,681130.1697,0,,base
stable_climate,F0,WGOA,Rpath,POL,2053,3314753.385,1998047.53,0,,base
stable_climate,F0,WGOA,Rpath,COD,2053,592209.805,132557.997,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2053,1809854.033,682386.4319,0,,base
stable_climate,F0,WGOA,Rpath,POL,2054,3324364.001,2004055.976,0,,base
stable_climate,F0,WGOA,Rpath,COD,2054,595010.5787,132661.0999,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2054,1812454.257,683603.5693,0,,base
stable_climate,F0,WGOA,Rpath,POL,2055,3333785.195,2009949.096,0,,base
stable_climate,F0,WGOA,Rpath,COD,2055,597672.1188,132721.8702,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2055,1815020.439,684769.0648,0,,base
stable_climate,F0,WGOA,Rpath,POL,2056,3342916.008,2015661.478,0,,base
stable_climate,F0,WGOA,Rpath,COD,2056,600200.6706,132745.6301,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2056,1817553.136,685879.7516,0,,base
stable_climate,F0,WGOA,Rpath,POL,2057,3351630.664,2021113.042,0,,base
stable_climate,F0,WGOA,Rpath,COD,2057,602597.413,132738.7825,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2057,1820049.804,686939.1847,0,,base
stable_climate,F0,WGOA,Rpath,POL,2058,3359812.748,2026231.554,0,,base
stable_climate,F0,WGOA,Rpath,COD,2058,604858.6532,132721.0999,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2058,1822503.72,687953.954,0,,base
stable_climate,F0,WGOA,Rpath,POL,2059,3367394.639,2030977.968,0,,base
stable_climate,F0,WGOA,Rpath,COD,2059,606980.8835,132710.9116,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2059,1824904.582,688930.4429,0,,base
stable_climate,F0,WGOA,Rpath,POL,2060,3374379.993,2035359.465,0,,base
stable_climate,F0,WGOA,Rpath,COD,2060,608963.5558,132720.6728,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2060,1827240.436,689872.7914,0,,base
stable_climate,F0,WGOA,Rpath,POL,2061,3380836.256,2039422.517,0,,base
stable_climate,F0,WGOA,Rpath,COD,2061,610810.4511,132769.8888,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2061,1829500.228,690782.4975,0,,base
stable_climate,F0,WGOA,Rpath,POL,2062,3386865.326,2043232.732,0,,base
stable_climate,F0,WGOA,Rpath,COD,2062,612530.1642,132838.4617,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2062,1831675.923,691659.2863,0,,base
stable_climate,F0,WGOA,Rpath,POL,2063,3392571.018,2046853.921,0,,base
stable_climate,F0,WGOA,Rpath,COD,2063,614132.6466,132918.8448,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2063,1833763.216,692502.1968,0,,base
stable_climate,F0,WGOA,Rpath,POL,2064,3398033.987,2050333.045,0,,base
stable_climate,F0,WGOA,Rpath,COD,2064,615628.889,133000.3903,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2064,1835761.234,693310.6276,0,,base
stable_climate,F0,WGOA,Rpath,POL,2065,3403296.643,2053691.962,0,,base
stable_climate,F0,WGOA,Rpath,COD,2065,617029.5917,133072.7647,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2065,1837671.624,694085.1195,0,,base
stable_climate,F0,WGOA,Rpath,POL,2066,3408357.028,2056924.486,0,,base
stable_climate,F0,WGOA,Rpath,COD,2066,618343.4989,133128.6075,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2066,1839497.154,694827.3581,0,,base
stable_climate,F0,WGOA,Rpath,POL,2067,3413171.41,2059998.717,0,,base
stable_climate,F0,WGOA,Rpath,COD,2067,619576.4379,133164.757,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2067,1841240.363,695539.6865,0,,base
stable_climate,F0,WGOA,Rpath,POL,2068,3417669.063,2062867.198,0,,base
stable_climate,F0,WGOA,Rpath,COD,2068,620731.3118,133182.6122,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2068,1842902.461,696224.2921,0,,base
stable_climate,F0,WGOA,Rpath,POL,2069,3421779.708,2065485.09,0,,base
stable_climate,F0,WGOA,Rpath,COD,2069,621809.023,133187.8058,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2069,1844482.573,696882.1775,0,,base
stable_climate,F0,WGOA,Rpath,POL,2070,3425465.554,2067830.607,0,,base
stable_climate,F0,WGOA,Rpath,COD,2070,622810.1652,133194.9049,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2070,1845978.006,697512.6887,0,,base
stable_climate,F0,WGOA,Rpath,POL,2071,3428741.204,2069916.582,0,,base
stable_climate,F0,WGOA,Rpath,COD,2071,623736.871,133201.4358,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2071,1847385.463,698113.8243,0,,base
stable_climate,F0,WGOA,Rpath,POL,2072,3431671.093,2071786.95,0,,base
stable_climate,F0,WGOA,Rpath,COD,2072,624592.3619,133212.3216,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2072,1848702.504,698683.0766,0,,base
stable_climate,F0,WGOA,Rpath,POL,2073,3434348.489,2073501.93,0,,base
stable_climate,F0,WGOA,Rpath,COD,2073,625381.5704,133229.8685,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2073,1849928.723,699218.5651,0,,base
stable_climate,F0,WGOA,Rpath,POL,2074,3436868.775,2075120.788,0,,base
stable_climate,F0,WGOA,Rpath,COD,2074,626110.685,133254.0568,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2074,1851066.142,699719.9594,0,,base
stable_climate,F0,WGOA,Rpath,POL,2075,3439307.626,2076688.635,0,,base
stable_climate,F0,WGOA,Rpath,COD,2075,626786.1868,133282.9235,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2075,1852118.793,700188.8543,0,,base
stable_climate,F0,WGOA,Rpath,POL,2076,3441707.286,2078228.646,0,,base
stable_climate,F0,WGOA,Rpath,COD,2076,627413.9738,133313.2773,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2076,1853091.883,700628.608,0,,base
stable_climate,F0,WGOA,Rpath,POL,2077,3444070.788,2079739.137,0,,base
stable_climate,F0,WGOA,Rpath,COD,2077,627998.7281,133341.7655,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2077,1853990.829,701043.7349,0,,base
stable_climate,F0,WGOA,Rpath,POL,2078,3446364.666,2081195.903,0,,base
stable_climate,F0,WGOA,Rpath,COD,2078,628543.6129,133365.8493,0,,base
