"year","Species","totB","SSB","Catch","Climate","Frate","Region","Model","Scenario"
2032,"POL",3151642.48149923,1890141.27678452,0,"persistence","F0","WGOA","Rpath","base"
2032,"COD",477041.970436055,125616.572172772,0,"persistence","F0","WGOA","Rpath","base"
2032,"ATF",1757644.35328327,659898.732354093,0,"persistence","F0","WGOA","Rpath","base"
2033,"POL",3154214.16121652,1892947.85066427,0,"persistence","F0","WGOA","Rpath","base"
2033,"COD",487292.506575681,127291.798878813,0,"persistence","F0","WGOA","Rpath","base"
2033,"ATF",1760824.80955892,659389.609114523,0,"persistence","F0","WGOA","Rpath","base"
2034,"POL",3156729.72053073,1895618.32044104,0,"persistence","F0","WGOA","Rpath","base"
2034,"COD",496572.422883472,128217.60787492,0,"persistence","F0","WGOA","Rpath","base"
2034,"ATF",1763810.93444743,659032.430013028,0,"persistence","F0","WGOA","Rpath","base"
2035,"POL",3159509.77694579,1898301.73206941,0,"persistence","F0","WGOA","Rpath","base"
2035,"COD",505038.655219184,128754.553290354,0,"persistence","F0","WGOA","Rpath","base"
2035,"ATF",1766619.31798499,659126.008858201,0,"persistence","F0","WGOA","Rpath","base"
2036,"POL",3162801.41315724,1901129.12528539,0,"persistence","F0","WGOA","Rpath","base"
2036,"COD",512800.660554282,129169.47956821,0,"persistence","F0","WGOA","Rpath","base"
2036,"ATF",1769240.95830905,659784.7378189,0,"persistence","F0","WGOA","Rpath","base"
2037,"POL",3166806.02046159,1904226.68863828,0,"persistence","F0","WGOA","Rpath","base"
2037,"COD",519940.83924319,129650.825480045,0,"persistence","F0","WGOA","Rpath","base"
2037,"ATF",1771668.71443916,660977.8710303,0,"persistence","F0","WGOA","Rpath","base"
2038,"POL",3171686.99182521,1907714.76218623,0,"persistence","F0","WGOA","Rpath","base"
2038,"COD",526532.759542664,130219.391899216,0,"persistence","F0","WGOA","Rpath","base"
2038,"ATF",1773913.75459236,662574.134566521,0,"persistence","F0","WGOA","Rpath","base"
2039,"POL",3177559.43601122,1911693.91993151,0,"persistence","F0","WGOA","Rpath","base"
2039,"COD",532650.410488438,130854.792068224,0,"persistence","F0","WGOA","Rpath","base"
2039,"ATF",1776010.87687445,664397.869559277,0,"persistence","F0","WGOA","Rpath","base"
2040,"POL",3184476.79277756,1916229.65946653,0,"persistence","F0","WGOA","Rpath","base"
2040,"COD",538370.878118221,131477.699788382,0,"persistence","F0","WGOA","Rpath","base"
2040,"ATF",1778014.72064304,666256.013875782,0,"persistence","F0","WGOA","Rpath","base"
2041,"POL",3192425.32881603,1921343.25645885,0,"persistence","F0","WGOA","Rpath","base"
2041,"COD",543767.26914618,131987.766071728,0,"persistence","F0","WGOA","Rpath","base"
2041,"ATF",1779990.21914966,668005.395759065,0,"persistence","F0","WGOA","Rpath","base"
2042,"POL",3201325.94839607,1927009.48031148,0,"persistence","F0","WGOA","Rpath","base"
2042,"COD",548902.667317841,132318.18208193,0,"persistence","F0","WGOA","Rpath","base"
2042,"ATF",1782001.15604175,669563.398948391,0,"persistence","F0","WGOA","Rpath","base"
2043,"POL",3211041.41921926,1933158.71263084,0,"persistence","F0","WGOA","Rpath","base"
2043,"COD",553822.407828616,132465.693826635,0,"persistence","F0","WGOA","Rpath","base"
2043,"ATF",1784100.07909443,670910.1065893,0,"persistence","F0","WGOA","Rpath","base"
2044,"POL",3221384.29702093,1939682.20193388,0,"persistence","F0","WGOA","Rpath","base"
2044,"COD",558554.457095182,132427.667297836,0,"persistence","F0","WGOA","Rpath","base"
