Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_Trawl,F_Codpot,F_Longline,F_Halibut,F_Crabpot,F_Salmon,F_Herring,F_Indigenous,F_Subsistence,Disc_Trawl,Disc_Codpot,Disc_Longline,Disc_Halibut,Disc_Crabpot,Disc_Salmon,Disc_Herring,Disc_Indigenous,Disc_Subsistence
king_crabs,0,0.20454,0.6585861,3.206973,,,0,0.2,,0,0.1,0.9,0,0,0,0,0.01746567,0,0,0,0,0.000538005,0.000186815,1.12E-06,0,0.0000175,0,0,0,0
opilio,0,1.51625,1.295101,3.117084,,,0,0.2,,0,0.1,0.9,0,0,0,0,0.2793214,0,0,0,0,0.00601985,0.0000217,0.000032956,0,0.000279322,0,0,0,0
pandalid,0,6.156531,0.5756463,2.40941,,,0,0.2,,0,0.1,0.9,2.08E-07,1.00E-10,0,0,0,0,0,0,0,1.85E-06,7.00E-10,2.00E-10,0,0,0,0,0,0
ben_zooplankton,0,34.99075,4.924663,24.01241,,,0,0.2,,0,0.1083206,0.8916793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snails_sea_stars,0,2.91657,1.333365,6.666824,,,0,0.2,,0,0.1,0.9,3.58E-05,0.000000036,0.000000238,0,0,0,0,0,0,0.005726217,0.0000255,0.000291052,0.00000154,0,0,0,0,0
herb_echinoderms,0,3.478209,1.037453,5.187263,,,0,0.2,,0,0.1,0.9,3.24E-07,2.00E-10,0,0,0,0,0,0,0,5.84E-05,0.000000658,1.88E-06,0,0,0,0,0,0
misc_crabs,0,2.209594,0.82,4.1,,,0,0.2,,0,0.1,0.9,2.97E-06,7.86E-08,4.50E-09,0,0.000321019,0,0,0,0,0.000268039,0.00000197,8.65E-07,0,0.000000321,0,0,0,0
structural_epifauna,0,0.7153122,2.176491,10.88246,,,0,0.4,,0,0.1,0.9,7.99E-06,9.60E-09,0.00000014,0,0,0,0,0,0,0.002161376,3.59E-07,0.000219297,0,0,0,0,0,0
infauna,0,86.58165,1.750761,8.753805,,,0,0.4,,0,0.1,0.9,0,2.16E-08,0,0,0,0,0,0,0,0,3.32E-08,7.01E-08,0,0,0,0,0,0
jellyfish,0,0.947142,3.835554,11.13202,,,0,0.2,,0,0.4,0.6,0.003125622,2.27E-08,0,0,0,0,0,0,0,0.01416276,0.00000634,1.70E-05,0,0,0,0,0,0
pel_zooplankton,0,2.206168,3.63744,10.39269,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
euphausiids,0,15.55545,5.475,15.64286,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copepods,0,23.31852,6,27.74,,,0,0.2,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pelagic_microbes,0,45,36.5,104.2857,,,0,0.25,,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic_microbes,0,21.7203,36.5,104.2857,,,0,0.25,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lg_phytoplankton,1,4.366863,88.59781,,,,0,0,,0,0.3981723,0.6018277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
