Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
2011,ak_plaice,NA,71219.11499,3806.821824,520620.0629,1.88E-06,,,,,ebs_race_shelf
2012,ak_plaice,NA,82279.73554,4398.036861,583514.8111,1.88E-06,,,,,ebs_race_shelf
2013,ak_plaice,NA,63371.17403,3387.331735,506465.1821,1.88E-06,,,,,ebs_race_shelf
2014,ak_plaice,NA,47004.56005,2512.499419,452758.1691,1.88E-06,,,,,ebs_race_shelf
2015,ak_plaice,NA,37243.46834,1990.74712,356437.7155,1.88E-06,,,,,ebs_race_shelf
2016,ak_plaice,NA,39858.15474,2055.527382,425196.5872,1.88E-06,,,,,ebs_race_shelf
2017,ak_plaice,NA,51649.31684,2663.610137,491360.6202,1.88E-06,,,,,ebs_race_shelf
2018,ak_plaice,NA,36808.39415,1898.247988,420012.2589,1.88E-06,,,,,ebs_race_shelf
2019,ak_plaice,NA,28653.97822,1477.716096,368620.6991,1.88E-06,,,,,ebs_race_shelf
2021,ak_plaice,NA,28194.87105,1454.039452,333845.3082,1.88E-06,,,,,ebs_race_shelf
2022,ak_plaice,NA,41730.06825,2152.06395,384019.1137,1.88E-06,,,,,ebs_race_shelf
2023,ak_plaice,NA,42190.19462,2477.493535,357786.0558,1.88E-06,,,,,ebs_race_shelf
1982,arrowtooth_adu,NA,7459.452539,431.3912788,69804.94608,1.88E-06,,,,,ebs_race_shelf
1983,arrowtooth_adu,NA,8928.658963,497.5747107,101242.0331,1.88E-06,,,,,ebs_race_shelf
1984,arrowtooth_adu,NA,21636.79348,1202.044082,159960.4678,1.88E-06,,,,,ebs_race_shelf
1985,arrowtooth_adu,NA,14176.05394,821.196756,164041.8578,1.88E-06,,,,,ebs_race_shelf
1986,arrowtooth_adu,NA,22820.82142,1269.784471,222152.7952,1.88E-06,,,,,ebs_race_shelf
1987,arrowtooth_adu,NA,19593.39016,1078.58063,284043.9601,1.88E-06,,,,,ebs_race_shelf
1988,arrowtooth_adu,NA,33558.79742,1814.651937,291954.3132,1.88E-06,,,,,ebs_race_shelf
1989,arrowtooth_adu,NA,34662.80784,1794.772158,340637.2711,1.88E-06,,,,,ebs_race_shelf
1990,arrowtooth_adu,NA,34973.64812,1893.92923,401256.7808,1.88E-06,,,,,ebs_race_shelf
1991,arrowtooth_adu,NA,36383.98993,2033.926869,291482.5288,1.88E-06,,,,,ebs_race_shelf
1992,arrowtooth_adu,NA,47259.93044,2563.029587,345261.4257,1.88E-06,,,,,ebs_race_shelf
1993,arrowtooth_adu,NA,41345.03758,2229.17503,448797.7792,1.88E-06,,,,,ebs_race_shelf
1994,arrowtooth_adu,NA,44214.65862,2456.369924,474045.5376,1.88E-06,,,,,ebs_race_shelf
1995,arrowtooth_adu,NA,63064.76357,3498.203672,452398.3707,1.88E-06,,,,,ebs_race_shelf
1996,arrowtooth_adu,NA,53960.69689,2909.365795,531742.7024,1.88E-06,,,,,ebs_race_shelf
1997,arrowtooth_adu,NA,58013.66264,3123.350604,458947.5751,1.88E-06,,,,,ebs_race_shelf
1998,arrowtooth_adu,NA,37897.81819,2043.313417,344654.927,1.88E-06,,,,,ebs_race_shelf
1999,arrowtooth_adu,NA,64070.81726,3570.527052,243988.4491,1.88E-06,,,,,ebs_race_shelf
