"tstep","year","mo","cop","eup","mzl","phl","phs","temp_b5","temp_s5"
160,1983,4,0.486627414823656,0.46646232239112,0.4024662969403,1.01286189134679,1.39416496510939,1.58888881641786,1.69128764286904
161,1983,5,0.959837514517884,0.92812948236756,0.943714283746125,1.08356395314631,1.1738841159231,1.55750509075986,1.47953231355811
162,1983,6,1.09190628056745,1.06870307575013,1.05888562419109,0.67188815658703,0.711923886678729,1.36185893569042,1.31493247913824
163,1983,7,0.944551397918152,0.957873390726285,0.907793576345018,0.668446595158822,0.79650327087639,1.2566513225229,1.12790631455635
164,1983,8,0.963140983023597,0.974139188072597,1.02105445576526,0.984760711011711,1.05741631713373,1.21166722761011,1.03847529439442
165,1983,9,1.14239303356012,1.1371935894585,1.17555937834986,1.10361839560546,1.42507420889943,1.1616969340407,1.02778502366224
166,1983,10,1.24315393792964,1.24291998960827,1.26216943225505,1.3817953490123,1.67770445417596,1.16129285225724,0.967295811285471
167,1983,11,1.40475572465991,1.38721501889822,1.4660599500512,1.62190222146197,1.71309024816173,1.13154816408454,0.96141654436887
168,1983,12,2.38330366645554,2.39853624927005,1.98541692130135,1.03626405635759,0.90171165151055,1.37948085135802,1.47808854879243
169,1984,1,0.432803190292431,0.375072083672926,1.14614211147066,0.657155937815336,1.01870272576885,1.55466304655542,1.90142434090463
170,1984,2,0.525175180054084,0.486878488280831,0.407151952645006,0.489314348369885,0.959584037370606,0.800062915582463,0.876605620792196
171,1984,3,0.257100237767219,0.254803228111995,0.301867725115006,0.761396650687561,0.907978120607874,0.6674942977091,0.795196052745656
172,1984,4,0.755148715447316,0.692784810236715,1.14746200555847,1.55287546859117,1.29655805232884,0.941428599822753,0.894720585152245
173,1984,5,1.03933752031778,1.05503059154149,1.14973057890523,1.28100771586293,1.11258917806608,0.842963637700233,0.920410401702312
174,1984,6,1.03491618626141,1.0185653130187,0.961272720585632,1.01236717996052,0.698032137296515,0.76386132085277,1.18238660324076
175,1984,7,1.04817533096427,1.04292720856923,0.950590971977164,0.994937038621301,0.706940448736792,0.760854450634905,1.04193825283604
176,1984,8,1.06796828509207,1.09869690930387,0.991540836625774,0.956364613574243,0.793324464376516,0.786319247787363,1.06980439306107
177,1984,9,1.04889880829044,1.06801151194903,0.977022827715776,0.766115764892628,0.790074417777377,0.831194834455291,1.04170217860836
178,1984,10,0.834376458180119,0.866000499419214,0.779295498184589,0.531604647340702,0.351002433963825,0.852451330879065,1.04697423139422
179,1984,11,0.680768456923003,0.703274489353327,0.727985508044481,0.522788076751502,0.299606227778824,0.967103578916869,1.18029569539303
180,1984,12,0.270923625595907,0.289400235522859,0.512186040444614,0.674039999297879,0.446452905072874,1.15620650345771,1.31515789569747
181,1985,1,0.284182780411092,0.1673491554257,0.655348857960137,1.03813257797215,0.941913561844228,1.72408117551489,2.14658413148311
182,1985,2,1.00227705581907,0.886810594895755,1.10870514235806,0.822928170092793,1.10139077474,1.94093876162335,2.54511232666874
183,1985,3,0.512084193892679,0.51418941693488,0.30690808031347,0.54045559116435,1.19507862798455,1.16047446674234,1.47217511829234
184,1985,4,0.760949268175507,0.698841724033354,0.565598492310223,0.549561716342652,1.01378545575918,0.61892522008751,0.580409276578929
185,1985,5,0.880113700314968,0.883329727408557,0.798692225677133,0.740692938248903,0.74282473608994,0.678515888861108,0.621902249351791
186,1985,6,0.999636154773987,1.04073231995809,1.01090150404923,1.04577100183382,1.03197927967624,0.814051918346227,0.815422047076518
187,1985,7,1.03080369694126,1.07522262396692,1.0441154762752,0.865893997371139,0.961402525300592,0.893593953593832,1.03186954263233
188,1985,8,1.07127585793424,1.07561198133354,1.05673664437822,1.05165463390034,1.01360378943729,0.932094947241561,0.93760419780239
