"tstep","mo","year","bt","phl","phs","phl_anom","phs_anom","phl_anom_9121","phs_anom_9121","phl_anom_91","phs_anom_91","phl_anom_8101","phs_anom_8101","phl_anom_8696","phs_anom_8696","phl_anom_7605","phs_anom_7605"
467,11,2008,2.20011701354061,50.1948541485647,11.704027254719,0.930910997158648,1.01210929771198,0.84708502429614,0.856262385900894,0.732557693794946,1.61291965532397,1.09166557195621,1.82498827483098,1.21190148980492,1.99278998014367,1.11851281377191,1.96413533104729
468,12,2008,1.614369693754,3.68121919427938,0.498336779380657,0.771637631888752,0.46055621377018,0.605963930273858,0.385668735709232,1.74144443288836,1.32234501737494,1.48949133129046,1.20690666908743,2.15299279301075,1.3658465398522,1.33826920713542,1.10275125600988
469,1,2009,0.706452718380867,3.80289169069622,0.43195227550964,1.59721386117195,0.982037278810798,1.20235025934088,0.901547853851965,3.45642716615767,1.12213177556899,2.02996717959033,0.963479945320084,2.23882071516103,0.957896731662159,1.90810721773142,0.95795182788355
470,2,2009,0.357193527185143,9.81162803191015,0.927134044076845,1.31020048974972,0.660874565930272,0.967194650801443,0.65045638418806,3.71089941835774,1.08245597633191,1.5955298515136,0.614096089289822,1.66781931653982,0.609537040578915,1.45407964337079,0.592420678333466
471,3,2009,0.170368726808374,46.0245877743712,3.10562640617051,1.14813954843402,0.461095003930947,0.91444293884316,0.4989376017027,2.18427224830401,0.48904852170756,1.25174299956707,0.401447242817666,1.31867134098108,0.39288077106767,1.17236474255713,0.389248923691131
472,4,2009,-0.0860900863593143,170.666143491891,8.88758330847357,0.625496260973218,0.220533565194723,0.573694105011693,0.239898496543566,0.576850435038123,0.151850208827565,0.586982266562267,0.183918894646209,0.567801771594598,0.167554624006286,0.594905542450907,0.179612842531938
473,5,2009,0.426183782658696,691.214882500718,106.177706480023,0.857176892634918,0.602471137256752,0.830525546610099,0.605178454412728,0.9124016929252,0.620692131534074,0.866509508251863,0.557135228389511,0.931151007782174,0.538114929782418,0.845639457953635,0.540448255044901
474,6,2009,1.20680784127512,653.754630566053,220.310298918001,1.34893002984025,0.941268953055657,1.29845451178103,0.918468913112604,1.85931958015709,1.30561721939611,1.52432137960669,0.956289832783457,1.70653127292964,0.984175883051928,1.53176392492702,0.928196000538384
475,7,2009,1.92210835114163,451.116674550283,248.594900190713,1.83195360126154,0.921058190598043,1.79703350075486,0.880337940309528,2.07888006252082,1.58404833658315,2.00880468509286,0.967395272493065,2.08865353947847,1.0756967886595,1.93637407931159,0.924896873878262
476,8,2009,2.5300056630624,272.640289312837,266.129773102785,1.55196015363502,1.11445143833039,1.53139230304878,1.03656325321366,1.66052149491362,2.46122538797687,1.5314787314105,1.3265403158483,1.47461596075669,1.79079773098651,1.50962001570431,1.24730763138672
477,9,2009,2.79948844683155,248.776705470136,134.854323038214,1.09575198004182,0.99948854019729,1.1562075901215,0.909197982208249,1.40294181175919,1.94722907105068,1.03748508819414,1.2809989451072,1.01378446848072,1.63040607189252,1.02849827846538,1.19911667264234
478,10,2009,2.83002357534542,227.280405902326,74.5394522242808,1.05198607426946,1.29304279121264,1.07139611379573,1.14257717824355,0.714010653089401,2.16782538573929,1.02774871550997,1.7274272780815,0.963998566070936,2.02668878605698,1.03263238478462,1.71540727970743
479,11,2009,2.28287794095574,79.5164894172927,21.5919590622552,1.47470842797784,1.86717119219914,1.34191499333039,1.57965988804979,1.16048581262523,2.97556511195069,1.72936878435299,3.36679599779284,1.91984125909906,3.67636188249526,1.77189900893344,3.62349888100294
480,12,2009,1.69000514177177,3.83491804854502,0.33243027872745,0.803855170065739,0.307227635703628,0.631264233487024,0.257271729908482,1.81415350017731,0.882109330252796,1.55168081226832,0.805102767853877,2.24288489344372,0.911128306656976,1.39414483772959,0.735622820892356
481,1,2010,1.23044537633965,4.4117855365705,0.642127837651754,1.8529491725383,1.45986839308158,1.39486262441536,1.34021512735525,4.00984740563885,1.66812884538296,2.35499208787349,1.43228159448696,2.59728586914175,1.42398174953515,2.21362071552242,1.4240636539943
482,2,2010,0.683071121505206,10.9670418983961,1.66995864884679,1.46448923865156,1.1903706958329,1.08109115273696,1.17160541284409,4.14789362881504,1.94972531881437,1.78341888571217,1.10611306108778,1.86422113271713,1.09790127890382,1.62531155080364,1.06707119845192
483,3,2010,0.189616608960797,41.6533367536771,4.57385469841859,1.03909335343939,0.679084111970648,0.827592413437466,0.734817326781932,1.97681786888229,0.72025304599499,1.13285691868943,0.591237038067597,1.19342864519678,0.578620647060378,1.06101772511829,0.573271793072623
484,4,2010,0.125097984031104,209.925397650301,16.4113458021634,0.769382542002647,0.407225729849857,0.705664056503015,0.442983997735572,0.709546454161725,0.280398641644677,0.722008965577956,0.33961499710645,0.698416277826101,0.309397592109987,0.731754875385163,0.331663666825016
485,5,2010,0.497507626695153,630.393356663718,103.355413620206,0.781752002572283,0.586456947034574,0.757445767412228,0.589092301420475,0.832117450579022,0.604193611938505,0.79026342070601,0.542326104806378,0.849216971765649,0.523811381754927,0.771229772278703,0.526082685266835
486,6,2010,1.28013468294641,651.734767993427,245.534542347515,1.34476232967726,1.04903875465425,1.29444276249777,1.02362824320555,1.85357496305624,1.45510277104556,1.51961178435586,1.06577943744455,1.70125871578657,1.09685827771746,1.52703133493468,1.0344690253714
