"tstep","year","month","btemp","stemp"
724,2040,4,5.19799902011879,5.80582934478055
725,2040,5,5.81328037613365,8.01438622970089
726,2040,6,6.4689571639517,10.6573731350719
727,2040,7,7.10393771512574,14.0358549582253
728,2040,8,7.65200467044346,14.1744920996961
729,2040,9,8.02174122561935,12.8351383195975
730,2040,10,8.32240229458754,10.9090163249071
731,2040,11,7.75947470969319,9.16811178716241
732,2040,12,6.37496984786667,7.15894316804906
733,2041,1,5.58776790941802,6.11925275103613
734,2041,2,5.31249351905748,5.86947520528065
735,2041,3,5.11086293589465,5.71537094195383
736,2041,4,5.32487209489383,6.15203065025894
737,2041,5,5.89833592484446,8.15759766607832
738,2041,6,6.53480369467389,10.0242335888557
739,2041,7,7.08262639489934,13.3048767318914
740,2041,8,7.60785428964571,14.2760209649327
741,2041,9,8.02330619144305,13.2108181501608
742,2041,10,8.1936743494025,10.5474450978062
743,2041,11,7.33672571512367,8.67210100402096
744,2041,12,6.65354686542276,7.71353733773047
745,2042,1,5.23023144687133,5.9528600853357
746,2042,2,4.74720901687277,5.24545048141903
747,2042,3,4.42977165740522,4.84671234680066
748,2042,4,4.53843963339078,4.92783552183996
749,2042,5,5.16904501109873,6.97340965784156
750,2042,6,5.96550126813187,9.83616301688916
751,2042,7,6.50172413473467,12.0612024455988
752,2042,8,7.01751746518452,14.1686779032898
753,2042,9,7.38807469042146,12.9051812887754
754,2042,10,7.53982838797518,10.1124941213072
755,2042,11,7.13775355730408,8.62819904935796
756,2042,12,6.23975954948756,7.28190045806592
757,2043,1,5.1802425190143,5.83724557281426
758,2043,2,4.62156677499264,5.10861442575788
759,2043,3,4.18148416156184,4.53962880053817
760,2043,4,4.21899032023591,4.77273583620035
761,2043,5,4.94440696031182,7.06808266644819
762,2043,6,5.69693921251318,9.98653336568732
763,2043,7,6.31420012755509,13.295737859584
764,2043,8,6.83255646618705,13.6802898871169
765,2043,9,7.26128713590558,12.6781433981728
766,2043,10,7.50256377058738,10.2456000931688
767,2043,11,7.34229593301586,9.10143286379077
768,2043,12,6.57367576581507,7.66237793463898
769,2044,1,5.69895504694704,6.29141695021553
770,2044,2,4.97745428848329,5.48410045936483
771,2044,3,4.71237021833367,5.10192348951754
772,2044,4,4.91058511164391,5.4755619045531
773,2044,5,5.51614195601924,7.50886797823507
774,2044,6,6.23879798325628,9.70825615284346
775,2044,7,6.74872256791653,12.6580745972403
776,2044,8,7.29792288378977,14.4886616523116
777,2044,9,7.61687019944556,13.2256899236846
