"","tstep","year","month","btemp","stemp","rec"
"447",579,2028,3,5.05731113202769,5.79522465709854,0.998311114757406
"448",580,2028,4,5.00403045454486,5.53646869938542,0.984867244805836
"449",581,2028,5,5.56793245477407,7.60224385983508,1
"450",582,2028,6,6.18510247885657,9.3981792619392,1
"451",583,2028,7,6.81845069061183,13.5087913431144,1
"452",584,2028,8,7.39109969687304,14.0653279254865,1
"453",585,2028,9,7.77089894463707,12.8775543159738,1
"454",586,2028,10,7.95881368348785,10.457055775086,1
"455",587,2028,11,6.97701088437678,8.14198403702013,1
"456",588,2028,12,5.76441136689891,6.68715963167065,1
"457",589,2029,1,4.92309474706042,5.55491491525595,1
"458",590,2029,2,4.66039382934759,5.28758357408341,0.916656706406404
"459",591,2029,3,4.67849851181515,5.41473704874927,0.96276111003061
"460",592,2029,4,4.82897092236646,5.51909356019857,0.904711188491944
"461",593,2029,5,5.44530820493184,7.94935203154755,1
"462",594,2029,6,6.20568282878298,10.511820589571,1
"463",595,2029,7,6.78099391744257,13.4827504615776,1
"464",596,2029,8,7.31307425324599,14.6607515563151,1
"465",597,2029,9,7.71409494790322,13.2400208651885,1
"466",598,2029,10,7.59432849303924,9.93644666600794,1
"467",599,2029,11,6.90772261001158,8.03186955909356,1
"468",600,2029,12,6.04813818366224,6.85454531951018,1
"469",601,2030,1,5.06805728459204,5.6030177341423,1
"470",602,2030,2,4.57102257256688,4.89562507956762,0.755929227909678
"471",603,2030,3,4.3649784953823,4.73316162270488,0.775262067705851
"472",604,2030,4,4.70493928258377,5.3840519725944,0.686825496346065
"473",605,2030,5,5.35734180658495,7.66634772560974,1
"474",606,2030,6,6.03595967984655,10.1304409300496,1
"475",607,2030,7,6.60256087335834,12.7238879402889,1
"476",608,2030,8,7.05164375513111,13.9687878450177,1
"477",609,2030,9,7.43995611844244,13.0471341546034,1
"478",610,2030,10,7.52281291263983,10.5484707338495,1
"479",611,2030,11,6.95337617297662,8.48855394369238,1
"480",612,2030,12,5.87756589634871,6.77519820699857,1
"481",613,2031,1,5.18505974631388,5.75514321150066,1
"482",614,2031,2,4.93699017491181,5.48255563911244,0.996512874091858
"483",615,2031,3,4.75582853495148,5.3656123625052,0.983513329433554
"484",616,2031,4,4.97951279233356,5.63804365262369,0.999999206288051
"485",617,2031,5,5.58901805366547,8.05255521706267,1
"486",618,2031,6,6.29649120928233,11.0187825714428,1
"487",619,2031,7,6.94676539042925,14.5885358224336,1
"488",620,2031,8,7.39297348648172,14.6000860874894,1
"489",621,2031,9,7.68344432446391,13.0498648987745,1
"490",622,2031,10,7.83019411366755,10.696152466926,1
"491",623,2031,11,7.47439087401441,9.29835100560214,1
"492",624,2031,12,6.94101140287612,8.29061727378672,1
"493",625,2032,1,5.92169069091522,6.80307400766103,1
"494",626,2032,2,5.45744903886551,6.17661555403389,0.959757468174705
"495",627,2032,3,5.20965377475687,5.87221692393567,0.975080357595589
"496",628,2032,4,5.21865740642125,5.88987256763442,0.998296028598464
"497",629,2032,5,5.84299093808619,7.90305379003251,1
"498",630,2032,6,6.51971517942513,10.7287807189343,1
"499",631,2032,7,7.02547934275445,13.1039507723419,1
"500",632,2032,8,7.47929661900193,13.8346495369646,1
"501",633,2032,9,7.77635417712917,12.9701034116474,1
"502",634,2032,10,7.91689816812224,10.3023735512032,1
"503",635,2032,11,7.06113718499209,8.2865843601941,1
"504",636,2032,12,5.91244880585533,6.86358904534841,1
"505",637,2033,1,5.3071434167625,6.11649879390848,1
"506",638,2033,2,5.03860720789288,5.84514634241078,0.94767108493524
