"varname","simulation","year","biomass_tonnes_km2","annual_mean_mtkm2","anomaly_ratio_mtkm2"
"MZS","ssp585",2037,25.7150825614436,29.5275759504318,0.870883631105099
"MZS","ssp585",2038,23.9192695216889,29.5275759504318,0.810065464291496
"MZS","ssp585",2039,22.9960519316021,29.5275759504318,0.778799179797411
"MZS","ssp585",2040,29.2398376311316,29.5275759504318,0.990255267828853
"MZS","ssp585",2041,26.8266450189982,29.5275759504318,0.908528524794324
"MZS","ssp585",2042,30.5390068188181,29.5275759504318,1.03425377247642
"MZS","ssp585",2043,25.1625596894742,29.5275759504318,0.852171533881236
"MZS","ssp585",2044,23.0156991739753,29.5275759504318,0.77946456602506
"MZS","ssp585",2045,26.1966050404584,29.5275759504318,0.887191183063412
"MZS","ssp585",2046,25.2269990297659,29.5275759504318,0.854353878290406
"MZS","ssp585",2047,27.765483328004,29.5275759504318,0.940323830666432
"MZS","ssp585",2048,30.1444641324405,29.5275759504318,1.02089193447658
"MZS","ssp585",2049,29.5756858501573,29.5275759504318,1.00162932100509
"MZS","ssp585",2050,31.8622375938277,29.5275759504318,1.07906716241506
"MZS","ssp585",2051,27.4324628003563,29.5275759504318,0.929045541916728
"MZS","ssp585",2052,32.1157277706025,29.5275759504318,1.08765202482301
"MZS","ssp585",2053,28.406437534669,29.5275759504318,0.962030800711684
"MZS","ssp585",2054,21.5132293107343,29.5275759504318,0.728580949104958
"MZS","ssp585",2055,32.5759814582727,29.5275759504318,1.10323927412661
"MZS","ssp585",2056,29.1156276424441,29.5275759504318,0.986048691952254
"MZS","ssp585",2057,22.5609888396098,29.5275759504318,0.764065051512632
"MZS","ssp585",2058,27.9000458679094,29.5275759504318,0.944881012743661
"MZS","ssp585",2059,28.7785293681609,29.5275759504318,0.974632303595516
"MZS","ssp585",2060,24.6940584108072,29.5275759504318,0.836304966322375
"MZS","ssp585",2061,29.9580123755735,29.5275759504318,1.01457743859043
"MZS","ssp585",2062,26.7627011529257,29.5275759504318,0.906362960435781
"MZS","ssp585",2063,25.326593845307,29.5275759504318,0.857726820780107
"MZS","ssp585",2064,33.2264162368539,29.5275759504318,1.12526731935704
