"varname","simulation","year","month","biomass_tonnes_km2","month_mean_mtkm2","anomaly_ratio_mtkm2"
"Cop","ssp585",1996,10,52.5896430851196,46.4298502747495,1.13266880625114
"Cop","ssp585",1996,11,31.2709979901693,30.214204093197,1.03497672464622
"Cop","ssp585",1996,12,18.7707654730745,17.8024453055795,1.0543925371416
"Cop","ssp585",1997,1,11.8146769010674,11.199991490953,1.05488266759943
"Cop","ssp585",1997,2,8.03444336987139,8.06421571366739,0.99630809184016
"Cop","ssp585",1997,3,9.04146300714148,9.64047938580618,0.937864461434705
"Cop","ssp585",1997,4,20.2475516757041,22.7793875445115,0.888854085130249
"Cop","ssp585",1997,5,48.5792425489707,53.6597257586668,0.905320365733037
"Cop","ssp585",1997,6,70.6345153910756,78.1264520647344,0.90410499292287
"Cop","ssp585",1997,7,72.7435374475329,80.720758045967,0.901175103015121
"Cop","ssp585",1997,8,51.6547364003184,60.3247744982567,0.85627732270779
"Cop","ssp585",1997,9,45.727189654845,52.9962341890594,0.862838470592406
"Cop","ssp585",1997,10,49.7730475918124,46.4298502747495,1.07200534348656
"Cop","ssp585",1997,11,31.1945043524996,30.214204093197,1.032445013487
"Cop","ssp585",1997,12,18.1615014740924,17.8024453055795,1.02016892411968
"Cop","ssp585",1998,1,11.200272133377,11.199991490953,1.00002505737832
"Cop","ssp585",1998,2,7.78712061044601,8.06421571366739,0.965638927198866
"Cop","ssp585",1998,3,7.82346642051189,9.64047938580618,0.811522550634826
"Cop","ssp585",1998,4,17.3022268951426,22.7793875445115,0.759556281367687
"Cop","ssp585",1998,5,43.0741377263926,53.6597257586668,0.802727504052434
"Cop","ssp585",1998,6,64.5704098763015,78.1264520647344,0.826485884995768
"Cop","ssp585",1998,7,73.8718301325534,80.720758045967,0.915152829591697
"Cop","ssp585",1998,8,57.6870343339313,60.3247744982567,0.956274346878799
"Cop","ssp585",1998,9,54.7124898083373,52.9962341890594,1.03238448251163
"Cop","ssp585",1998,10,46.0278559644492,46.4298502747495,0.99134189949092
"Cop","ssp585",1998,11,27.9983006999619,30.214204093197,0.926660209668271
"Cop","ssp585",1998,12,16.5230865465814,17.8024453055795,0.928135784885847
"Cop","ssp585",1999,1,10.0742371211571,11.199991490953,0.899486140618473
"Cop","ssp585",1999,2,7.62023487335738,8.06421571366739,0.944944324894789
"Cop","ssp585",1999,3,9.06909245993115,9.64047938580618,0.9407304447208
"Cop","ssp585",1999,4,16.895878997928,22.7793875445115,0.741717878275395
"Cop","ssp585",1999,5,42.6629895023406,53.6597257586668,0.795065366047831
"Cop","ssp585",1999,6,69.2327268283363,78.1264520647344,0.886162432807918
"Cop","ssp585",1999,7,83.0867773873238,80.720758045967,1.02931116355485
"Cop","ssp585",1999,8,60.3270615659053,60.3247744982567,1.00003791257684
"Cop","ssp585",1999,9,51.9924370367931,52.9962341890594,0.981059085279808
"Cop","ssp585",1999,10,44.0656806344284,46.4298502747495,0.949080825668593
"Cop","ssp585",1999,11,29.9800939089356,30.214204093197,0.992251651457068
"Cop","ssp585",1999,12,18.6542035823844,17.8024453055795,1.0478450157933
"Cop","ssp585",2000,1,11.4065879331039,11.199991490953,1.01844612492052
"Cop","ssp585",2000,2,8.17230721842131,8.06421571366739,1.01340384590292
"Cop","ssp585",2000,3,8.74086430593446,9.64047938580618,0.90668357413883
"Cop","ssp585",2000,4,20.924496668281,22.7793875445115,0.918571521178699
"Cop","ssp585",2000,5,55.8920356670874,53.6597257586668,1.04160121724178
"Cop","ssp585",2000,6,73.2073467938132,78.1264520647344,0.937036622796523
"Cop","ssp585",2000,7,76.5822796003133,80.720758045967,0.948730926891234
"Cop","ssp585",2000,8,62.7990169523626,60.3247744982567,1.04101536184238
"Cop","ssp585",2000,9,58.0001094224628,52.9962341890594,1.09441944904146
"Cop","ssp585",2000,10,47.1758646226489,46.4298502747495,1.01606755876844
"Cop","ssp585",2000,11,29.6960092141501,30.214204093197,0.982849295733605
"Cop","ssp585",2000,12,17.8320140675557,17.8024453055795,1.00166093822891
"Cop","ssp585",2001,1,11.4144387500841,11.199991490953,1.01914709125487
"Cop","ssp585",2001,2,8.46924959422948,8.06421571366739,1.05022607218649
"Cop","ssp585",2001,3,9.87620973168998,9.64047938580618,1.02445213940614
"Cop","ssp585",2001,4,23.4393710638227,22.7793875445115,1.02897283862534
"Cop","ssp585",2001,5,56.4327435164927,53.6597257586668,1.05167782202797
"Cop","ssp585",2001,6,86.0902024579978,78.1264520647344,1.10193411044271
"Cop","ssp585",2001,7,78.5758312031681,80.720758045967,0.973427815908549
"Cop","ssp585",2001,8,58.2062983257252,60.3247744982567,0.96488215347423
"Cop","ssp585",2001,9,58.0842847569599,52.9962341890594,1.09600777575534
"Cop","ssp585",2001,10,45.2011235117533,46.4298502747495,0.973535844812654
"Cop","ssp585",2001,11,29.2116954350375,30.214204093197,0.966819954777983
"Cop","ssp585",2001,12,17.9917751523498,17.8024453055795,1.01063504723764
"Cop","ssp585",2002,1,11.3459611812729,11.199991490953,1.01303301796593
"Cop","ssp585",2002,2,8.09475414110928,8.06421571366739,1.00378690607075
"Cop","ssp585",2002,3,9.11059298238152,9.64047938580618,0.945035264096429
"Cop","ssp585",2002,4,22.1301865214673,22.7793875445115,0.971500505807031
"Cop","ssp585",2002,5,53.9707598230226,53.6597257586668,1.00579641546725
"Cop","ssp585",2002,6,84.0927965196294,78.1264520647344,1.07636778961819
"Cop","ssp585",2002,7,82.6803639921632,80.720758045967,1.02427635708129
"Cop","ssp585",2002,8,59.0180770915178,60.3247744982567,0.978338959115766
"Cop","ssp585",2002,9,52.6282064673944,52.9962341890594,0.993055587301693
"Cop","ssp585",2002,10,50.2099690510692,46.4298502747495,1.08141570032965
"Cop","ssp585",2002,11,33.4154734201753,30.214204093197,1.10595246252736
"Cop","ssp585",2002,12,19.6005109247935,17.8024453055795,1.10100104723538
"Cop","ssp585",2003,1,12.2370324874562,11.199991490953,1.09259301646263
"Cop","ssp585",2003,2,8.00033106190523,8.06421571366739,0.992078008075368
"Cop","ssp585",2003,3,10.7650234109039,9.64047938580618,1.11664814373789
"Cop","ssp585",2003,4,23.206021063693,22.7793875445115,1.01872892843795
"Cop","ssp585",2003,5,58.1985666798567,53.6597257586668,1.08458561531983
"Cop","ssp585",2003,6,82.3038643127703,78.1264520647344,1.0534698829607
"Cop","ssp585",2003,7,79.7355854695721,80.720758045967,0.987795300734987
"Cop","ssp585",2003,8,54.4825818067673,60.3247744982567,0.903154338493909
"Cop","ssp585",2003,9,56.4233144534518,52.9962341890594,1.06466648653122
"Cop","ssp585",2003,10,42.202683876672,46.4298502747495,0.90895584687301
"Cop","ssp585",2003,11,25.3564201619814,30.214204093197,0.839221846909105
"Cop","ssp585",2003,12,14.1681562590875,17.8024453055795,0.795854502900621
