"simulation","depthclass","year","annual_avg_temp"
"ssp126","Surface",2042,9.57569932816522
"ssp126","Surface",2043,9.28014681899374
"ssp126","Surface",2044,7.79834488485737
"ssp126","Surface",2045,9.07390101659063
"ssp126","Surface",2046,9.26008875031304
"ssp126","Surface",2047,9.21513253362203
"ssp126","Surface",2048,8.44694835185525
"ssp126","Surface",2049,9.22316170025744
"ssp126","Surface",2050,8.71766432544627
"ssp126","Surface",2051,8.34657036084423
"ssp126","Surface",2052,9.09188114584555
"ssp126","Surface",2053,8.38361370580319
"ssp126","Surface",2054,8.83180210497658
"ssp126","Surface",2055,9.18775455216304
"ssp126","Surface",2056,9.30996824692769
"ssp126","Surface",2057,8.34964865703882
"ssp126","Surface",2058,9.46130841509667
"ssp126","Surface",2059,9.37139057109643
"ssp126","Surface",2060,8.6769736195136
"ssp126","Surface",2061,9.24017171045822
"ssp126","Surface",2062,8.72400257894587
"ssp126","Surface",2063,8.53566041826659
"ssp126","Surface",2064,8.68325228254052
"ssp126","Surface",2065,8.56397105450883
"ssp126","Surface",2066,9.05934337701181
"ssp126","Surface",2067,9.46695829063002
"ssp126","Surface",2068,8.80091903453945
"ssp126","Surface",2069,8.51660186551784
"ssp126","Surface",2070,8.6135738959022
"ssp126","Surface",2071,8.17984989051921
"ssp126","Surface",2072,9.13039090239923
"ssp126","Surface",2073,9.00039256789804
"ssp126","Surface",2074,9.53627406414277
"ssp126","Surface",2075,9.21033165943925
"ssp126","Surface",2076,8.01801537461753
"ssp126","Surface",2077,8.29606581157237
"ssp126","Surface",2078,9.21978171054282
"ssp126","Surface",2079,8.81753410746562
"ssp126","Surface",2080,9.03479372843239
"ssp126","Surface",2081,9.05220513782709
"ssp126","Surface",2082,9.75370865797816
"ssp126","Surface",2083,9.37596417836716
"ssp126","Surface",2084,8.26662623550337
"ssp126","Surface",2085,7.54885563670448
"ssp126","Surface",2086,8.45121982971219
"ssp126","Surface",2087,8.67030265132043
"ssp126","Surface",2088,9.15077683238092
"ssp126","Surface",2089,8.76973806740305
"ssp126","Surface",2090,9.26370418654494
"ssp126","Surface",2091,8.27251379116761
"ssp126","Surface",2092,8.96111295772262
"ssp126","Surface",2093,9.76557451088566
"ssp126","Surface",2094,9.28390026692348
"ssp126","Surface",2095,8.43932023785609
"ssp126","Surface",2096,8.88089055782177
"ssp126","Surface",2097,9.99029977779399
"ssp126","Surface",2098,9.45423259063375
"ssp126","Surface",2099,9.03020161475981
"ssp245","Bottom",1980,5.22594645860972
"ssp245","Bottom",1981,5.30426026696422
"ssp245","Bottom",1982,5.82810587074587
"ssp245","Bottom",1983,5.82232406571743
"ssp245","Bottom",1984,5.52736498668215
"ssp245","Bottom",1985,5.2348151717652
"ssp245","Bottom",1986,5.58304198109205
"ssp245","Bottom",1987,5.40960633823346
"ssp245","Bottom",1988,5.13000284896122
"ssp245","Bottom",1989,5.3342310265528
"ssp245","Bottom",1990,5.0171447236463
"ssp245","Bottom",1991,4.82970722188093
"ssp245","Bottom",1992,5.18423369429298
"ssp245","Bottom",1993,4.98024213125013
"ssp245","Bottom",1994,4.89707497477733
"ssp245","Bottom",1995,5.02621519690858
"ssp245","Bottom",1996,5.37019229149599
"ssp245","Bottom",1997,5.55417472758995
"ssp245","Bottom",1998,5.90336983944286
"ssp245","Bottom",1999,5.23384541121539
"ssp245","Bottom",2000,5.34063161610023
"ssp245","Bottom",2001,5.71906942946763
"ssp245","Bottom",2002,5.46455608786996
"ssp245","Bottom",2003,6.14252356030708
"ssp245","Bottom",2004,5.51586845537829
"ssp245","Bottom",2005,5.81439290693848
"ssp245","Bottom",2006,5.52820328870693
"ssp245","Bottom",2007,4.96118065252103
"ssp245","Bottom",2008,5.20252761731025
"ssp245","Bottom",2009,5.20646455503824
"ssp245","Bottom",2010,5.67342273899913
"ssp245","Bottom",2011,5.33218214784502
"ssp245","Bottom",2012,5.06484122921044
"ssp245","Bottom",2013,5.56274649829398
"ssp245","Bottom",2014,6.19722491654479
"ssp245","Bottom",2015,6.33580217140638
"ssp245","Bottom",2016,6.61093039241933
"ssp245","Bottom",2017,6.09272561059471
"ssp245","Bottom",2018,6.10102488669366
"ssp245","Bottom",2019,6.4663702581123
"ssp245","Bottom",2020,5.83106180581064
"ssp245","Bottom",2021,5.04770418527259
"ssp245","Bottom",2022,5.71669863959677
"ssp245","Bottom",2023,5.39039824170934
"ssp245","Bottom",2024,6.05518182995705
"ssp245","Bottom",2025,5.66264072443361
"ssp245","Bottom",2026,5.80263916276747
"ssp245","Bottom",2027,5.94132808693135
"ssp245","Bottom",2028,5.9416407539152
"ssp245","Bottom",2029,5.70737439215489
"ssp245","Bottom",2030,5.89565880457365
"ssp245","Bottom",2031,5.62582566897307
"ssp245","Bottom",2032,6.01992946699908
"ssp245","Bottom",2033,5.90800167356902
"ssp245","Bottom",2034,5.72845265514942
"ssp245","Bottom",2035,6.56217592479101
"ssp245","Bottom",2036,6.42071568094295
"ssp245","Bottom",2037,6.1920016362653
"ssp245","Bottom",2038,6.29367631914693
"ssp245","Bottom",2039,6.40383204977372
"ssp245","Bottom",2040,6.52948683889258
"ssp245","Bottom",2041,6.55557249039328
"ssp245","Bottom",2042,5.99207131823985
"ssp245","Bottom",2043,5.88918409564131
"ssp245","Bottom",2044,6.30753137487382
"ssp245","Bottom",2045,6.09653867366321
"ssp245","Bottom",2046,6.19636651629052
"ssp245","Bottom",2047,6.58600374216826
"ssp245","Bottom",2048,6.04045244328011
"ssp245","Bottom",2049,6.76605737088829
"ssp245","Bottom",2050,6.43368772804481
"ssp245","Bottom",2051,5.86424220742143
"ssp245","Bottom",2052,6.38738522213049
"ssp245","Bottom",2053,6.70983152664062
"ssp245","Bottom",2054,6.11161888483431
"ssp245","Bottom",2055,6.68558010745377
"ssp245","Bottom",2056,6.89369328555695
"ssp245","Bottom",2057,6.86710372627039
"ssp245","Bottom",2058,6.35796935905927
"ssp245","Bottom",2059,6.03884913948541
"ssp245","Bottom",2060,6.72400237765475
"ssp245","Bottom",2061,6.59041166014994
"ssp245","Bottom",2062,6.72191930855621
"ssp245","Bottom",2063,6.92251894670689
"ssp245","Bottom",2064,6.94572416851516
"ssp245","Bottom",2065,6.06798458548282
"ssp245","Bottom",2066,6.12200681219285
"ssp245","Bottom",2067,6.42962556171673
"ssp245","Bottom",2068,6.13392813173318
"ssp245","Bottom",2069,6.65575039443015
"ssp245","Bottom",2070,6.45018942142428
"ssp245","Bottom",2071,6.42343401057438
"ssp245","Bottom",2072,6.9862579031397
"ssp245","Bottom",2073,6.48993989153548
"ssp245","Bottom",2074,6.27054839358199
"ssp245","Bottom",2075,6.64384535861451
"ssp245","Bottom",2076,6.75066363271503
"ssp245","Bottom",2077,6.17098373812733
"ssp245","Bottom",2078,6.08873735773025
"ssp245","Bottom",2079,6.56765215683335
"ssp245","Bottom",2080,6.7463924334498
"ssp245","Bottom",2081,6.29312283247053
"ssp245","Bottom",2082,7.14235699306685
"ssp245","Bottom",2083,7.16342113636661
"ssp245","Bottom",2084,6.73813254537123
"ssp245","Bottom",2085,6.90783076272652
"ssp245","Bottom",2086,6.9726858894169
"ssp245","Bottom",2087,6.78730817669635
"ssp245","Bottom",2088,7.0987322182065
"ssp245","Bottom",2089,7.5731006534701
"ssp245","Bottom",2090,7.4661173457461
"ssp245","Bottom",2091,6.75353864343342
"ssp245","Bottom",2092,7.30126171825448
"ssp245","Bottom",2093,7.08482734039556
"ssp245","Bottom",2094,6.80347809153252
"ssp245","Bottom",2095,7.06934492829563
"ssp245","Bottom",2096,6.44108930493516
"ssp245","Bottom",2097,6.43547386765208
"ssp245","Bottom",2098,7.19690412520423
"ssp245","Bottom",2099,6.01339668391687
"ssp245","Surface",1980,6.79921865583157
"ssp245","Surface",1981,7.4581592813357
"ssp245","Surface",1982,7.86930477913169
"ssp245","Surface",1983,7.79996497810041
"ssp245","Surface",1984,7.40987031253829
"ssp245","Surface",1985,6.9624265281143
"ssp245","Surface",1986,7.919313112435
"ssp245","Surface",1987,7.42421273329713
"ssp245","Surface",1988,7.32008947814839
"ssp245","Surface",1989,7.28511462665885
"ssp245","Surface",1990,7.15953714081179
"ssp245","Surface",1991,6.93304630118979
"ssp245","Surface",1992,7.35006260414671
"ssp245","Surface",1993,7.4003562936834
"ssp245","Surface",1994,7.16161071298054
"ssp245","Surface",1995,7.23443551301704
"ssp245","Surface",1996,7.56693789672724
"ssp245","Surface",1997,8.27007375723284
"ssp245","Surface",1998,7.94907611438795
"ssp245","Surface",1999,7.22175284454193
"ssp245","Surface",2000,7.49812884515517
"ssp245","Surface",2001,8.01037390775555
"ssp245","Surface",2002,7.86635778235971
"ssp245","Surface",2003,8.61347114951598
"ssp245","Surface",2004,8.18923626135629
"ssp245","Surface",2005,8.47396493574396
"ssp245","Surface",2006,7.64794772485931
