"Prey","Predator","Old_VV","New_VV","Rel_Change","Log_Ratio"
"pacific_sandlance","northern_fur_seal_juvenile",2,1.88420932734671,-0.0578953363266437,-0.0259008463251865
"pacific_capelin","northern_fur_seal_juvenile",2,8.96059028490326,3.48029514245163,0.651306624381201
"shelf_forage_fish","northern_fur_seal_juvenile",2,2.57341995203116,0.28670997601558,0.109480668108594
"slope_forage_fish","northern_fur_seal_juvenile",2,2,0,0
"pacific_halibut_juvenile","northern_fur_seal_juvenile",2,2,0,0
"rex_sole_adult","northern_fur_seal_juvenile",2,2,0,0
"flathead_sole_adult","northern_fur_seal_juvenile",2,2,0,0
"shallow_water_flatfish","northern_fur_seal_juvenile",2,1.54817916428085,-0.225910417859573,-0.111208777330002
"pacific_ocean_perch_adult","northern_fur_seal_juvenile",2,1.92401275075782,-0.0379936246210891,-0.0168220498096856
"slope_rockfish","northern_fur_seal_juvenile",2,2,0,0
"demersal_shelf_rockfish","northern_fur_seal_juvenile",2,2,0,0
"pelagic_shelf_rockfish","northern_fur_seal_juvenile",2,2,0,0
"sablefish_adult","northern_fur_seal_juvenile",2,9.69726116777096,3.84863058388548,0.685619096573418
"pacific_cod_adult","northern_fur_seal_juvenile",2,2.03854217961004,0.0192710898050219,0.00828970623279197
"walleye_pollock_adult","northern_fur_seal_juvenile",2,1.4377315656901,-0.28113421715495,-0.143352187796508
"large_sculpins","northern_fur_seal_juvenile",2,2,0,0
"shelf_demersal_fish","northern_fur_seal_juvenile",2,1.76944387063964,-0.115278064680178,-0.0531932049312518
"slope_demersal_fish","northern_fur_seal_juvenile",2,2,0,0
"squid","northern_fur_seal_juvenile",2,2.88161157710642,0.440805788553211,0.158605444628015
"salmon_returning","steller_sea_lion",2,5.62054410102326,1.81027205051163,0.44874836414601
"salmon_outgoing","steller_sea_lion",2,2,0,0
"pacific_hake","steller_sea_lion",2,2,0,0
"pacific_herring_adult","steller_sea_lion",2,2.3199942209609,0.159997110480449,0.0644569074131606
"pacific_herring_juvenile","steller_sea_lion",2,1.80249908826407,-0.0987504558679635,-0.0451549419462911
"pacific_sandlance","steller_sea_lion",2,1.88420932734671,-0.0578953363266437,-0.0259008463251865
"pacific_capelin","steller_sea_lion",2,8.96059028490326,3.48029514245163,0.651306624381201
"shelf_forage_fish","steller_sea_lion",2,2.57341995203116,0.28670997601558,0.109480668108594
"slope_forage_fish","steller_sea_lion",2,2,0,0
"big_skate","steller_sea_lion",2,2,0,0
"longnose_skate","steller_sea_lion",2,2,0,0
"other_skates","steller_sea_lion",2,1.5720776829984,-0.213961158500798,-0.104555993105643
"pacific_halibut_adult","steller_sea_lion",2,6.60734201818029,2.30367100909015,0.518996792264962
"pacific_halibut_juvenile","steller_sea_lion",2,2,0,0
"arrowtooth_flounder_adult","steller_sea_lion",2,2.43086190756857,0.215430953784287,0.084730292474132
"arrowtooth_flounder_juvenile","steller_sea_lion",2,12.974571827521,5.48728591376049,0.812063038986517
"shallow_water_flatfish","steller_sea_lion",2,1.54817916428085,-0.225910417859573,-0.111208777330002
"pacific_ocean_perch_adult","steller_sea_lion",2,1.92401275075782,-0.0379936246210891,-0.0168220498096856
"pacific_ocean_perch_juvenile","steller_sea_lion",2,2,0,0
"slope_rockfish","steller_sea_lion",2,2,0,0
"demersal_shelf_rockfish","steller_sea_lion",2,2,0,0
"pelagic_shelf_rockfish","steller_sea_lion",2,2,0,0
"thornyheads","steller_sea_lion",2,2,0,0
"pacific_cod_adult","steller_sea_lion",2,2.03854217961004,0.0192710898050219,0.00828970623279197
"pacific_cod_juvenile","steller_sea_lion",2,2,0,0
"walleye_pollock_adult","steller_sea_lion",2,1.4377315656901,-0.28113421715495,-0.143352187796508
"walleye_pollock_juvenile","steller_sea_lion",2,1.77580914365466,-0.11209542817267,-0.051633707820314
"large_sculpins","steller_sea_lion",2,2,0,0
"atka_mackerel","steller_sea_lion",2,2,0,0
"slope_demersal_fish","steller_sea_lion",2,2,0,0
"squid","steller_sea_lion",2,2.88161157710642,0.440805788553211,0.158605444628015
"octopus","steller_sea_lion",2,2.25065314759879,0.125326573799394,0.0512785745516917
"salmon_returning","harbor_seal",2,5.62054410102326,1.81027205051163,0.44874836414601
"pacific_herring_adult","harbor_seal",2,2.3199942209609,0.159997110480449,0.0644569074131606
"pacific_herring_juvenile","harbor_seal",2,1.80249908826407,-0.0987504558679635,-0.0451549419462911
"pacific_sandlance","harbor_seal",2,1.88420932734671,-0.0578953363266437,-0.0259008463251865
"pacific_capelin","harbor_seal",2,8.96059028490326,3.48029514245163,0.651306624381201
"shelf_forage_fish","harbor_seal",2,2.57341995203116,0.28670997601558,0.109480668108594
"pacific_halibut_adult","harbor_seal",2,6.60734201818029,2.30367100909015,0.518996792264962
"pacific_halibut_juvenile","harbor_seal",2,2,0,0
"arrowtooth_flounder_adult","harbor_seal",2,2.43086190756857,0.215430953784287,0.084730292474132
"arrowtooth_flounder_juvenile","harbor_seal",2,12.974571827521,5.48728591376049,0.812063038986517
"rex_sole_adult","harbor_seal",2,2,0,0
"rex_sole_juvenile","harbor_seal",2,2,0,0
"flathead_sole_adult","harbor_seal",2,2,0,0
"flathead_sole_juvenile","harbor_seal",2,2,0,0
"shallow_water_flatfish","harbor_seal",2,1.54817916428085,-0.225910417859573,-0.111208777330002
"pacific_ocean_perch_adult","harbor_seal",2,1.92401275075782,-0.0379936246210891,-0.0168220498096856
"pacific_ocean_perch_juvenile","harbor_seal",2,2,0,0
"slope_rockfish","harbor_seal",2,2,0,0
"demersal_shelf_rockfish","harbor_seal",2,2,0,0
"pelagic_shelf_rockfish","harbor_seal",2,2,0,0
"thornyheads","harbor_seal",2,2,0,0
"pacific_cod_adult","harbor_seal",2,2.03854217961004,0.0192710898050219,0.00828970623279197
"pacific_cod_juvenile","harbor_seal",2,2,0,0
"walleye_pollock_adult","harbor_seal",2,1.4377315656901,-0.28113421715495,-0.143352187796508
"walleye_pollock_juvenile","harbor_seal",2,1.77580914365466,-0.11209542817267,-0.051633707820314
"large_sculpins","harbor_seal",2,2,0,0
"shelf_demersal_fish","harbor_seal",2,1.76944387063964,-0.115278064680178,-0.0531932049312518
"slope_demersal_fish","harbor_seal",2,2,0,0
"squid","harbor_seal",2,2.88161157710642,0.440805788553211,0.158605444628015
"octopus","harbor_seal",2,2.25065314759879,0.125326573799394,0.0512785745516917
"tanner_crab","harbor_seal",2,1.61865128140674,-0.190674359296632,-0.0918767002603749
"king_crab","harbor_seal",2,2,0,0
"pandalid_shrimp","harbor_seal",2,1.57153280199921,-0.214233599000393,-0.104706545354239
"mysids","harbor_seal",2,1.60275755423632,-0.198621222881842,-0.0961621631542792
"pacific_herring_adult","sea_otter",2,2.3199942209609,0.159997110480449,0.0644569074131606
"pacific_herring_juvenile","sea_otter",2,1.80249908826407,-0.0987504558679635,-0.0451549419462911
"pacific_sandlance","sea_otter",2,1.88420932734671,-0.0578953363266437,-0.0259008463251865
"pacific_capelin","sea_otter",2,8.96059028490326,3.48029514245163,0.651306624381201
"shelf_forage_fish","sea_otter",2,2.57341995203116,0.28670997601558,0.109480668108594
"pacific_halibut_adult","sea_otter",2,6.60734201818029,2.30367100909015,0.518996792264962
"pacific_halibut_juvenile","sea_otter",2,2,0,0
"pacific_ocean_perch_adult","sea_otter",2,1.92401275075782,-0.0379936246210891,-0.0168220498096856
"pacific_ocean_perch_juvenile","sea_otter",2,2,0,0
"slope_rockfish","sea_otter",2,2,0,0
"demersal_shelf_rockfish","sea_otter",2,2,0,0
"pelagic_shelf_rockfish","sea_otter",2,2,0,0
"thornyheads","sea_otter",2,2,0,0
"pacific_cod_adult","sea_otter",2,2.03854217961004,0.0192710898050219,0.00828970623279197
"pacific_cod_juvenile","sea_otter",2,2,0,0
"walleye_pollock_adult","sea_otter",2,1.4377315656901,-0.28113421715495,-0.143352187796508
"walleye_pollock_juvenile","sea_otter",2,1.77580914365466,-0.11209542817267,-0.051633707820314
"squid","sea_otter",2,2.88161157710642,0.440805788553211,0.158605444628015
"motile_epifauna","sea_otter",2,1.64319935045795,-0.178400324771027,-0.085339741083481
"sessile_epifauna","sea_otter",2,2,0,0
"piscivorous_surface_birds","piscivorous_surface_birds",2,2,0,0
"planktivorous_surface_birds","piscivorous_surface_birds",2,2,0,0
"piscivorous_diving_birds","piscivorous_surface_birds",2,2,0,0
"planktivorous_diving_birds","piscivorous_surface_birds",2,2,0,0
"salmon_outgoing","piscivorous_surface_birds",2,2,0,0
"pacific_herring_adult","piscivorous_surface_birds",2,2.3199942209609,0.159997110480449,0.0644569074131606
"pacific_herring_juvenile","piscivorous_surface_birds",2,1.80249908826407,-0.0987504558679635,-0.0451549419462911
"pacific_sandlance","piscivorous_surface_birds",2,1.88420932734671,-0.0578953363266437,-0.0259008463251865
"pacific_capelin","piscivorous_surface_birds",2,8.96059028490326,3.48029514245163,0.651306624381201
"shelf_forage_fish","piscivorous_surface_birds",2,2.57341995203116,0.28670997601558,0.109480668108594
"slope_forage_fish","piscivorous_surface_birds",2,2,0,0
"pacific_halibut_juvenile","piscivorous_surface_birds",2,2,0,0
"arrowtooth_flounder_juvenile","piscivorous_surface_birds",2,12.974571827521,5.48728591376049,0.812063038986517
"rex_sole_juvenile","piscivorous_surface_birds",2,2,0,0
"flathead_sole_juvenile","piscivorous_surface_birds",2,2,0,0
