"tstep","year","month","btemp","stemp"
780,2044,12,6.65631808064169,7.30536723247541
781,2045,1,5.60790525274528,6.03086141703506
782,2045,2,5.054243134385,5.42693001065037
783,2045,3,4.80056946202146,5.12832304273467
784,2045,4,4.8691417242767,5.34030019517247
785,2045,5,5.51983912308096,7.54334716513347
786,2045,6,6.30128077726729,11.9317570147281
787,2045,7,6.97597377440726,14.9432979095499
788,2045,8,7.42240090550167,14.3017229524558
789,2045,9,7.72963966364276,12.6760384754216
790,2045,10,7.67463260860247,10.0344106379111
791,2045,11,7.00954915632407,8.03648383156753
792,2045,12,6.24205467424975,6.90769594070042
793,2046,1,5.54215375254614,5.96970954715147
794,2046,2,4.74694706789739,5.04762723019241
795,2046,3,4.00616716482844,4.14841387548752
796,2046,4,4.09673086840189,4.43040498267083
797,2046,5,4.71396382961541,6.6491519823501
798,2046,6,5.56084300132695,9.66789243190663
799,2046,7,6.25316998863336,12.6871720092817
800,2046,8,6.72459542235923,12.6087181743159
801,2046,9,7.10791057832705,11.7696718859598
802,2046,10,7.25524054887469,9.44232037080914
803,2046,11,7.00341051311803,8.14826316159582
804,2046,12,6.34944433557617,7.08100009795389
805,2047,1,5.16811959813136,5.4123462506705
806,2047,2,4.68271566681089,4.38728256871595
807,2047,3,3.95234993591444,3.93809735406463
808,2047,4,4.09000452263043,4.15787725290248
809,2047,5,4.69144196801313,5.71138713720724
810,2047,6,5.45578677384557,9.10625822034259
811,2047,7,6.08570926501858,12.4426655435767
812,2047,8,6.50918890952556,13.5638526189838
813,2047,9,6.79780729213833,11.2722390168584
814,2047,10,6.96202779595164,9.29744080482741
815,2047,11,6.72898495806281,7.84182962042483
816,2047,12,5.96687383054464,6.72513710188869
817,2048,1,5.37901116514047,5.61926650546966
818,2048,2,4.92688507565696,5.1345892933275
819,2048,3,4.11028064726926,4.51487798176548
820,2048,4,4.48767309025872,5.4504971504729
821,2048,5,5.18568871647208,7.76752440576005
822,2048,6,5.99098081413175,10.6300080310609
823,2048,7,6.52640789140196,12.1212457908844
824,2048,8,6.94843814935113,12.822594752989
825,2048,9,7.24459512903421,11.8356474393149
826,2048,10,7.26160700961117,9.76526838041613
827,2048,11,6.95015425894072,8.04105488035233
828,2048,12,6.31694196388165,6.84150917562418
829,2049,1,5.6611918245961,6.06490045525282
830,2049,2,5.37849042516862,5.89802335996791
831,2049,3,5.29570886184652,5.83887799645504
832,2049,4,5.4252084122227,6.23684894927745
833,2049,5,6.06787097403525,9.36062698227933
834,2049,6,6.77223648531903,12.3632538980245
835,2049,7,7.30139766469595,14.2169946873641
836,2049,8,7.80965721322479,14.9518226107294
837,2049,9,8.10497062350565,12.7391572196131
838,2049,10,8.37992672323066,10.6464911628144
839,2049,11,7.66506237910256,8.90946534766851
840,2049,12,6.96648124393463,7.79893924367358
841,2050,1,6.08554535568067,6.55452965669251
842,2050,2,5.48595913340637,5.87979659451012
843,2050,3,4.9908217432913,5.31699242865768
844,2050,4,5.066590262048,5.63852950120295
845,2050,5,5.68157882442383,7.94532834253766
846,2050,6,6.3943990109612,10.5796913668771
847,2050,7,7.01346090114525,13.1885957624706
848,2050,8,7.51217628176423,14.314759684818
849,2050,9,7.83446071121343,12.6525101491403
850,2050,10,8.18810348827279,10.843159567963
851,2050,11,7.70005054917077,8.9521465037308
852,2050,12,6.56912098307046,7.30658293626339
853,2051,1,5.43758242448461,5.81186963332588
854,2051,2,4.94971088260665,5.16139299170075
855,2051,3,4.68194186762633,4.97092892453382
856,2051,4,4.89096653371423,5.50675002793656
857,2051,5,5.49616117040615,7.62539866450713
858,2051,6,6.23467416351219,10.2936512296645
859,2051,7,6.83956146064226,13.2277968923634
860,2051,8,7.3425014475798,13.8245647264124
861,2051,9,7.77108634078561,13.2611300469009
862,2051,10,7.9776995839137,10.6161152415748
863,2051,11,7.34540643410603,8.50070434309627
864,2051,12,6.30617699000377,6.90145388415157
865,2052,1,5.29106743742407,5.63547527298155
866,2052,2,4.92116338166087,5.36701668285155
867,2052,3,4.68694227793488,5.20465661218171
868,2052,4,4.81304168468224,5.19638767598727
869,2052,5,5.49027502570579,7.81945626743746
870,2052,6,6.23730624552538,10.7170070400279
871,2052,7,6.91779616832073,13.7568856268327
872,2052,8,7.41720873507025,13.4801081962139
873,2052,9,7.84088052823594,12.4188344718003
874,2052,10,7.92206939179962,9.9994880634425
875,2052,11,7.31939732404476,8.2551562768529
876,2052,12,6.82737762144747,7.70462572588175
877,2053,1,5.69200267445304,6.35257566307621
878,2053,2,5.30081532286884,5.74004627138633
879,2053,3,4.99553303028605,5.48338858818356
880,2053,4,5.07698221508816,5.48972946992845
881,2053,5,5.62944274118231,7.34728406413468
882,2053,6,6.40773372144349,10.7261054294862
883,2053,7,7.10163608954911,14.2733170193023
884,2053,8,7.65212594982602,14.9903467704341
885,2053,9,7.94991251939421,13.0987991782642
886,2053,10,8.25398399497333,10.9928161316002
887,2053,11,7.80521164496635,9.37800535758579
888,2053,12,7.17046520781863,8.32544528968225
889,2054,1,6.44893265242417,7.20623785216861
890,2054,2,5.6271377366645,6.17445523120358
891,2054,3,5.27521855728,5.70903930257003
892,2054,4,5.16867706837742,5.52022985051863
893,2054,5,5.73831338937775,7.40693143143391
894,2054,6,6.5651308066174,11.5620245078743
895,2054,7,7.22375666198073,13.377246344586
896,2054,8,7.75867535383807,14.5692977513572
897,2054,9,8.11966919166445,12.7574154581895
898,2054,10,8.08035830836523,10.2372343719969
899,2054,11,7.14963066050857,8.15182146396328
900,2054,12,6.06181172683953,6.84013323625312
901,2055,1,5.46573543207665,6.04025481610083
902,2055,2,5.32129125294817,5.93139546260123
903,2055,3,5.21394514209473,5.88021439809003
904,2055,4,5.39151549984919,6.14351493096084
905,2055,5,5.98504024336026,8.79034188983635
906,2055,6,6.66097719406995,11.1279487755112
