"","spnum","preyvul","predvul","nll","dnll","nll_groupB","dnll_groupB","convergence","Vprey","Vpred"
"shelf_forage_fish",25,-4,-4,24950.4488492795,-1814.68485636595,85.9800434547979,0.181656867101054,"TRUE",1.01831563888873,1.01831563888873
"slope_forage_fish",26,-4,4,26760.3498213883,-4.78388425713274,626.318572159061,7.53816416162624,"TRUE",1.01831563888873,55.5981500331442
"pacific_dogfish",27,-4,-4,26741.4808976012,-23.652808044244,158.422044512233,-54.1582582915314,"TRUE",1.01831563888873,1.01831563888873
"salmon_shark",28,0,4,26620.3548214823,-144.778884163177,NA,NA,"TRUE",2,55.5981500331442
"pacific_sleeper_shark",29,4,4,26759.753418264,-5.38028738142748,108.372872534099,-0.835861971382684,"TRUE",55.5981500331442,55.5981500331442
"big_skate",30,-4,-4,26712.8923206987,-52.241384946763,53.3838712719862,-56.8452063933578,"TRUE",1.01831563888873,1.01831563888873
"longnose_skate",31,4,0.233988917738338,26754.868588055,-10.2651175904612,347.214713537597,40.5538401497451,"TRUE",55.5981500331442,2.26363048824647
"other_skates",32,-4,-4,16961.5607321204,-9803.57297352504,1355.32815991848,-4798.24609751308,"TRUE",1.01831563888873,1.01831563888873
"pacific_halibut_adult",33,4,4,24010.7906814369,-2754.34302420855,168.320803117275,-108.320656164707,"TRUE",55.5981500331442,55.5981500331442
"pacific_halibut_juvenile",34,4,4,26677.5248152711,-87.608890374333,51.5482756408553,7.90895230930627,"TRUE",55.5981500331442,55.5981500331442
"arrowtooth_flounder_adult",35,-4,4,24067.0749428109,-2698.05876283454,36.1491550370952,-5.20185647496663,"TRUE",1.01831563888873,55.5981500331442
"arrowtooth_flounder_juvenile",36,4,4,26150.2067690678,-614.926936577594,204.36379287286,41.2616506107894,"TRUE",55.5981500331442,55.5981500331442
"rex_sole_adult",37,4,-4,26657.5587241654,-107.574981480091,40.6683429523147,-59.7630379492422,"TRUE",55.5981500331442,1.01831563888873
"rex_sole_juvenile",38,-4,-4,26738.1369447032,-26.9967609422274,542.14636425243,-29.0863782999476,"TRUE",1.01831563888873,1.01831563888873
"flathead_sole_adult",39,-4,0.309458574258609,26688.2688685105,-76.8648371349409,36.8031527712615,2.83509098146477,"TRUE",1.01831563888873,2.36268712048134
"flathead_sole_juvenile",40,-2.87460535009144,4,26752.3283628897,-12.8053427556952,-1.39171295392253,-5.66676517342819,"TRUE",1.05643840852202,55.5981500331442
"shallow_water_flatfish",41,-4,-4,26557.6424751136,-207.491230531799,6.72209818629074,-1.25853231150168,"TRUE",1.01831563888873,1.01831563888873
"deep_water_flatfish",42,4,-4,26555.2923443823,-209.841361263178,487.7676454585,-219.178822868715,"TRUE",55.5981500331442,1.01831563888873
"pacific_ocean_perch_adult",43,4,-4,26660.249309278,-104.884396367488,171.699439321981,-116.368954262447,"TRUE",55.5981500331442,1.01831563888873
"pacific_ocean_perch_juvenile",44,-4,-4,26756.6979090099,-8.43579663549463,49.8355512692759,-7.20682252089278,"TRUE",1.01831563888873,1.01831563888873
"slope_rockfish",45,-4,-4,26728.80711106,-36.3265945854873,10.6784886105573,-0.423134571326086,"TRUE",1.01831563888873,1.01831563888873
"demersal_shelf_rockfish",46,-4,4,26721.0962605948,-44.0374450506679,31.1735199285783,10.0388632950799,"TRUE",1.01831563888873,55.5981500331442
"pelagic_shelf_rockfish",47,-4,-4,26738.5900617788,-26.543643866622,26.5817658571226,-30.0356021474607,"TRUE",1.01831563888873,1.01831563888873
"thornyheads",48,0.947607654310676,-4,26629.2644603299,-135.869245315571,1169.73212504463,62.795760466046,"TRUE",3.5795311414806,1.01831563888873
"sablefish_adult",49,4,-4,26104.7219543089,-660.411751336542,283.468997045048,-117.05857406999,"TRUE",55.5981500331442,1.01831563888873
"sablefish_juvenile",50,4,-4,26761.9752318698,-3.15847377562386,156.324141835049,-1.78053445314148,"TRUE",55.5981500331442,1.01831563888873
"pacific_cod_adult",51,-4,-4,23985.7773127534,-2779.35639289204,121.432159576442,-72.9737677642718,"TRUE",1.01831563888873,1.01831563888873
"pacific_cod_juvenile",52,4,-4,26634.4340370474,-130.699668598056,44.4411003072345,-2.66966074618811,"TRUE",55.5981500331442,1.01831563888873
"walleye_pollock_adult",53,-4,4,17275.582631041,-9489.55107460446,2214.38047714032,-73.2289883745857,"TRUE",1.01831563888873,55.5981500331442
"walleye_pollock_juvenile",54,0.942350405200927,-4,26661.0656178458,-104.068087799682,30.9989688369421,0.185498766505347,"TRUE",3.56600548869907,1.01831563888873
"large_sculpins",55,4,-0.544966385370195,26763.9647397421,-1.16896590335818,39.3628908341281,-5.73395047935787,"TRUE",55.5981500331442,1.57986127483434
"lingcod",56,-4,4,26761.5712137532,-3.56249189220762,NA,NA,"TRUE",1.01831563888873,55.5981500331442
"atka_mackerel",57,-4,-4,26752.9424614715,-12.1912441739114,NA,NA,"TRUE",1.01831563888873,1.01831563888873
