"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",1997-03-16,1997,3,3.81185379027806
"ssp126","Bottom",1997-04-15,1997,4,3.96407763413444
"ssp126","Bottom",1997-05-16,1997,5,4.71752710310779
"ssp126","Bottom",1997-06-15,1997,6,5.55768446641141
"ssp126","Bottom",1997-07-16,1997,7,6.3104278833768
"ssp126","Bottom",1997-08-16,1997,8,6.90644590994664
"ssp126","Bottom",1997-09-15,1997,9,7.31096288181867
"ssp126","Bottom",1997-10-16,1997,10,7.34701538440057
"ssp126","Bottom",1997-11-15,1997,11,6.7421146147881
"ssp126","Bottom",1997-12-16,1997,12,5.77246136349403
"ssp126","Bottom",1998-01-16,1998,1,4.74271700618404
"ssp126","Bottom",1998-02-14,1998,2,4.70203000320142
"ssp126","Bottom",1998-03-16,1998,3,4.66188080559631
"ssp126","Bottom",1998-04-15,1998,4,4.94886371096601
"ssp126","Bottom",1998-05-16,1998,5,5.43679961912338
"ssp126","Bottom",1998-06-15,1998,6,5.87195608806858
"ssp126","Bottom",1998-07-16,1998,7,6.43445354624039
"ssp126","Bottom",1998-08-16,1998,8,6.9256529817972
"ssp126","Bottom",1998-09-15,1998,9,7.22009021313195
"ssp126","Bottom",1998-10-16,1998,10,7.15531844651361
"ssp126","Bottom",1998-11-15,1998,11,6.91751323196428
"ssp126","Bottom",1998-12-16,1998,12,5.82316242052711
"ssp126","Bottom",1999-01-16,1999,1,4.97985938542987
"ssp126","Bottom",1999-02-14,1999,2,3.79617663838619
"ssp126","Bottom",1999-03-16,1999,3,3.44698838110368
"ssp126","Bottom",1999-04-15,1999,4,3.78997372103614
"ssp126","Bottom",1999-05-16,1999,5,4.43249092803473
"ssp126","Bottom",1999-06-15,1999,6,5.23604306014976
"ssp126","Bottom",1999-07-16,1999,7,5.92581686704521
"ssp126","Bottom",1999-08-16,1999,8,6.2587986872586
"ssp126","Bottom",1999-09-15,1999,9,6.76404081386917
"ssp126","Bottom",1999-10-16,1999,10,6.83444376999539
"ssp126","Bottom",1999-11-15,1999,11,6.18653996795397
"ssp126","Bottom",1999-12-16,1999,12,5.15497271432203
"ssp126","Bottom",2000-01-16,2000,1,3.9627572725565
"ssp126","Bottom",2000-02-15,2000,2,3.6648044612097
"ssp126","Bottom",2000-03-16,2000,3,3.90650286919538
"ssp126","Bottom",2000-04-15,2000,4,4.17011641875452
"ssp126","Bottom",2000-05-16,2000,5,4.86548140655397
"ssp126","Bottom",2000-06-15,2000,6,5.59537943992129
"ssp126","Bottom",2000-07-16,2000,7,6.17424224552786
"ssp126","Bottom",2000-08-16,2000,8,6.46286248262683
"ssp126","Bottom",2000-09-15,2000,9,6.57392327003935
"ssp126","Bottom",2000-10-16,2000,10,6.63763280684206
"ssp126","Bottom",2000-11-15,2000,11,6.32511383769589
"ssp126","Bottom",2000-12-16,2000,12,5.74876288227939
"ssp126","Bottom",2001-01-16,2001,1,5.28241104791621
"ssp126","Bottom",2001-02-14,2001,2,4.80413505845579
"ssp126","Bottom",2001-03-16,2001,3,4.64783730544163
"ssp126","Bottom",2001-04-15,2001,4,4.64524052174523
"ssp126","Bottom",2001-05-16,2001,5,5.13777604181854
"ssp126","Bottom",2001-06-15,2001,6,5.83934904445272
"ssp126","Bottom",2001-07-16,2001,7,6.3087369578101
"ssp126","Bottom",2001-08-16,2001,8,6.62575027872229
"ssp126","Bottom",2001-09-15,2001,9,7.07173930867925
"ssp126","Bottom",2001-10-16,2001,10,7.004799714409
"ssp126","Bottom",2001-11-15,2001,11,6.14827667446944
"ssp126","Bottom",2001-12-16,2001,12,5.11278119969136
"ssp126","Bottom",2002-01-16,2002,1,4.57633000413711
"ssp126","Bottom",2002-02-14,2002,2,4.07136297526647
"ssp126","Bottom",2002-03-16,2002,3,3.8680177386953
"ssp126","Bottom",2002-04-15,2002,4,4.08877581092679
"ssp126","Bottom",2002-05-16,2002,5,4.63288072212234
"ssp126","Bottom",2002-06-15,2002,6,5.4866605982626
"ssp126","Bottom",2002-07-16,2002,7,6.11171939401395
"ssp126","Bottom",2002-08-16,2002,8,6.45431271797988
"ssp126","Bottom",2002-09-15,2002,9,6.57922245680443
"ssp126","Bottom",2002-10-16,2002,10,6.60387348702067
"ssp126","Bottom",2002-11-15,2002,11,6.73974946997034
"ssp126","Bottom",2002-12-16,2002,12,6.36176767923967
"ssp126","Bottom",2003-01-16,2003,1,5.62254898860759
"ssp126","Bottom",2003-02-14,2003,2,5.43407793103275
"ssp126","Bottom",2003-03-16,2003,3,5.12206097924325
"ssp126","Bottom",2003-04-15,2003,4,4.96044162454083
"ssp126","Bottom",2003-05-16,2003,5,5.48254670267206
"ssp126","Bottom",2003-06-15,2003,6,6.19267387216733
"ssp126","Bottom",2003-07-16,2003,7,6.66644771585873
"ssp126","Bottom",2003-08-16,2003,8,6.96794136909965
"ssp126","Bottom",2003-09-15,2003,9,7.27844940450513
"ssp126","Bottom",2003-10-16,2003,10,7.52466407798865
"ssp126","Bottom",2003-11-15,2003,11,6.79331795624832
"ssp126","Bottom",2003-12-16,2003,12,5.66511210172062
"ssp126","Bottom",2004-01-16,2004,1,4.72065418552939
"ssp126","Bottom",2004-02-15,2004,2,4.33337002844545
"ssp126","Bottom",2004-03-16,2004,3,4.21717761900092
"ssp126","Bottom",2004-04-15,2004,4,4.20867376561204
"ssp126","Bottom",2004-05-16,2004,5,4.85555370355208
"ssp126","Bottom",2004-06-15,2004,6,5.59998065812527
"ssp126","Bottom",2004-07-16,2004,7,6.26941572003706
"ssp126","Bottom",2004-08-16,2004,8,6.73879899595804
"ssp126","Bottom",2004-09-15,2004,9,6.86948037956745
"ssp126","Bottom",2004-10-16,2004,10,6.72119844360176
"ssp126","Bottom",2004-11-15,2004,11,6.04560650201569
"ssp126","Bottom",2004-12-16,2004,12,5.61051146309428
"ssp126","Bottom",2005-01-16,2005,1,5.02811601824747
"ssp126","Bottom",2005-02-14,2005,2,4.57676054785464
"ssp126","Bottom",2005-03-16,2005,3,4.55980190089845
"ssp126","Bottom",2005-04-15,2005,4,4.64812987898125
"ssp126","Bottom",2005-05-16,2005,5,5.27428441998348
"ssp126","Bottom",2005-06-15,2005,6,6.02665074318965
"ssp126","Bottom",2005-07-16,2005,7,6.58254128351581
"ssp126","Bottom",2005-08-16,2005,8,7.06673249829864
"ssp126","Bottom",2005-09-15,2005,9,7.05178442967306
"ssp126","Bottom",2005-10-16,2005,10,7.10086223994052
"ssp126","Bottom",2005-11-15,2005,11,6.33463176245711
"ssp126","Bottom",2005-12-16,2005,12,5.52241916022172
"ssp126","Bottom",2006-01-16,2006,1,5.15715037372396
"ssp126","Bottom",2006-02-14,2006,2,4.18626291411555
"ssp126","Bottom",2006-03-16,2006,3,3.94935778154169
"ssp126","Bottom",2006-04-15,2006,4,4.20156558420286
"ssp126","Bottom",2006-05-16,2006,5,4.77003604578386
"ssp126","Bottom",2006-06-15,2006,6,5.59184713390464
"ssp126","Bottom",2006-07-16,2006,7,6.29988352954588
"ssp126","Bottom",2006-08-16,2006,8,6.80610808971376
"ssp126","Bottom",2006-09-15,2006,9,7.15439277092868
"ssp126","Bottom",2006-10-16,2006,10,6.989612198676
"ssp126","Bottom",2006-11-15,2006,11,6.09673450670356
"ssp126","Bottom",2006-12-16,2006,12,5.1354885356427
"ssp126","Bottom",2007-01-16,2007,1,4.06082657209387
"ssp126","Bottom",2007-02-14,2007,2,3.84417616759771
"ssp126","Bottom",2007-03-16,2007,3,3.15180154855222
"ssp126","Bottom",2007-04-15,2007,4,3.24909579619394
"ssp126","Bottom",2007-05-16,2007,5,4.09031045702062
"ssp126","Bottom",2007-06-15,2007,6,4.94446880033228
"ssp126","Bottom",2007-07-16,2007,7,5.65205959946133
"ssp126","Bottom",2007-08-16,2007,8,6.17732624803786
"ssp126","Bottom",2007-09-15,2007,9,6.51882659024041
"ssp126","Bottom",2007-10-16,2007,10,6.34336062537945
"ssp126","Bottom",2007-11-15,2007,11,6.0326741411885
"ssp126","Bottom",2007-12-16,2007,12,5.46924128415409
"ssp126","Bottom",2008-01-16,2008,1,4.31453067474861
"ssp126","Bottom",2008-02-15,2008,2,3.66987490113542
"ssp126","Bottom",2008-03-16,2008,3,3.59413679851542
"ssp126","Bottom",2008-04-15,2008,4,3.73305653235908
"ssp126","Bottom",2008-05-16,2008,5,4.35295231790217
"ssp126","Bottom",2008-06-15,2008,6,5.17441989932045
"ssp126","Bottom",2008-07-16,2008,7,5.86850393691966
"ssp126","Bottom",2008-08-16,2008,8,6.47539778338678
"ssp126","Bottom",2008-09-15,2008,9,6.96474834666619
"ssp126","Bottom",2008-10-16,2008,10,6.78243529254769
"ssp126","Bottom",2008-11-15,2008,11,6.14309020071528
"ssp126","Bottom",2008-12-16,2008,12,5.35718472350619
"ssp126","Bottom",2009-01-16,2009,1,4.31255887019411
"ssp126","Bottom",2009-02-14,2009,2,3.757112531237
"ssp126","Bottom",2009-03-16,2009,3,3.52663983547689
"ssp126","Bottom",2009-04-15,2009,4,3.53541000066338
"ssp126","Bottom",2009-05-16,2009,5,4.27242754371437
"ssp126","Bottom",2009-06-15,2009,6,5.0956250064556
"ssp126","Bottom",2009-07-16,2009,7,5.78388091624154
"ssp126","Bottom",2009-08-16,2009,8,6.26747170631697
"ssp126","Bottom",2009-09-15,2009,9,6.82380258330473
"ssp126","Bottom",2009-10-16,2009,10,7.11106597201707
"ssp126","Bottom",2009-11-15,2009,11,6.44713466105585
"ssp126","Bottom",2009-12-16,2009,12,5.54444503378137
"ssp126","Bottom",2010-01-16,2010,1,5.15574635824128
"ssp126","Bottom",2010-02-14,2010,2,4.7847795561747
"ssp126","Bottom",2010-03-16,2010,3,4.3298192806853
"ssp126","Bottom",2010-04-15,2010,4,4.39461215813241
"ssp126","Bottom",2010-05-16,2010,5,5.00287310208653
"ssp126","Bottom",2010-06-15,2010,6,5.88104893379656
"ssp126","Bottom",2010-07-16,2010,7,6.39783644062142
"ssp126","Bottom",2010-08-16,2010,8,6.61852463202978
"ssp126","Bottom",2010-09-15,2010,9,6.75098341610323
"ssp126","Bottom",2010-10-16,2010,10,6.90424236373498
"ssp126","Bottom",2010-11-15,2010,11,6.49920157710006
"ssp126","Bottom",2010-12-16,2010,12,5.36140504928328
"ssp126","Bottom",2011-01-16,2011,1,4.53233353551604
"ssp126","Bottom",2011-02-14,2011,2,4.03177744679472
"ssp126","Bottom",2011-03-16,2011,3,3.59774938154568
"ssp126","Bottom",2011-04-15,2011,4,3.88751989521241
"ssp126","Bottom",2011-05-16,2011,5,4.53803133261042
"ssp126","Bottom",2011-06-15,2011,6,5.27749793687901
"ssp126","Bottom",2011-07-16,2011,7,5.8655623433943
"ssp126","Bottom",2011-08-16,2011,8,6.29665895759514
"ssp126","Bottom",2011-09-15,2011,9,7.11017975046578
"ssp126","Bottom",2011-10-16,2011,10,7.30699434202733
"ssp126","Bottom",2011-11-15,2011,11,6.2743132013146
"ssp126","Bottom",2011-12-16,2011,12,5.26756765078479
"ssp126","Bottom",2012-01-16,2012,1,4.03667889752273
"ssp126","Bottom",2012-02-15,2012,2,3.4140121927306
"ssp126","Bottom",2012-03-16,2012,3,3.13257321798501
"ssp126","Bottom",2012-04-15,2012,4,3.4610449601141
"ssp126","Bottom",2012-05-16,2012,5,4.30254714873333
"ssp126","Bottom",2012-06-15,2012,6,5.24217301838765
"ssp126","Bottom",2012-07-16,2012,7,5.94879508176101
"ssp126","Bottom",2012-08-16,2012,8,6.49988972854041
"ssp126","Bottom",2012-09-15,2012,9,6.76360297645599
"ssp126","Bottom",2012-10-16,2012,10,6.8028738944744
"ssp126","Bottom",2012-11-15,2012,11,6.14035533005202
"ssp126","Bottom",2012-12-16,2012,12,5.03354830376799
"ssp126","Bottom",2013-01-16,2013,1,4.56565270706621
"ssp126","Bottom",2013-02-14,2013,2,4.30681814667192
"ssp126","Bottom",2013-03-16,2013,3,4.13131690669942
"ssp126","Bottom",2013-04-15,2013,4,4.20112894202416
"ssp126","Bottom",2013-05-16,2013,5,4.78661949900926
"ssp126","Bottom",2013-06-15,2013,6,5.67007869541544
"ssp126","Bottom",2013-07-16,2013,7,6.23392733266139
"ssp126","Bottom",2013-08-16,2013,8,6.70887193122728
"ssp126","Bottom",2013-09-15,2013,9,6.99725254652672
"ssp126","Bottom",2013-10-16,2013,10,6.93597260657059
"ssp126","Bottom",2013-11-15,2013,11,6.56354559514193
"ssp126","Bottom",2013-12-16,2013,12,5.6517730705135
"ssp126","Bottom",2014-01-16,2014,1,5.18971354010628
"ssp126","Bottom",2014-02-14,2014,2,4.88332002181883
"ssp126","Bottom",2014-03-16,2014,3,4.5676895648303
"ssp126","Bottom",2014-04-15,2014,4,4.79705089978583
"ssp126","Bottom",2014-05-16,2014,5,5.50355069296995
